Timestamp;All
1370216793000;0.86
1370216794000;0.73
1370216795000;0.49
1370216796000;0.86
1370216797000;0.48
1370216798000;0.62
1370216799000;0.5
1370216800000;0.6699999999999999
1370216801000;0.95
1370216802000;0.20999999999999996
1370216803000;0.31000000000000005
1370216804000;0.92
1370216805000;1.0
1370216806000;0.77
1370216807000;0.75
1370216808000;0.54
1370216809000;0.7
1370216810000;1.0
1370216811000;1.0
1370216812000;0.5800000000000001
1370216813000;0.77
1370216814000;0.6799999999999999
1370216815000;0.86
1370216816000;0.85
1370216817000;0.37
1370216818000;0.71
1370216819000;0.20999999999999996
1370216820000;0.49
1370216821000;0.84
1370216822000;0.79
1370216823000;0.5
1370216824000;0.61
1370216825000;0.98
1370216826000;0.39
1370216827000;0.72
1370216828000;0.26
1370216829000;0.99
1370216830000;1.0
1370216831000;1.0
1370216832000;0.76
1370216833000;0.71
1370216834000;0.36
1370216835000;0.5900000000000001
1370216836000;0.44999999999999996
1370216837000;0.5
1370216838000;0.8200000000000001
1370216839000;0.79
1370216840000;1.0
1370216841000;1.0
1370216842000;0.94
1370216843000;0.19999999999999996
1370216844000;0.7
1370216845000;0.6
1370216846000;0.52
1370216847000;0.51
1370216848000;0.96
1370216849000;0.8200000000000001
1370216850000;0.56
1370216851000;0.75
1370216852000;1.0
1370216853000;0.55
1370216854000;0.79
1370216855000;0.65
1370216856000;0.8713
1370216857000;1.0
1370216858000;1.0
1370216859000;0.5900000000000001
1370216860000;1.0
1370216861000;0.6
1370216862000;0.6
1370216863000;0.72
1370216864000;0.5900000000000001
1370216865000;0.84
1370216866000;0.78
1370216867000;0.7
1370216868000;0.6799999999999999
1370216869000;0.6599999999999999
1370216870000;0.55
1370216871000;0.5700000000000001
1370216872000;1.0
1370216873000;1.0
1370216874000;0.75
1370216875000;0.91
1370216876000;0.85
1370216877000;0.84
1370216878000;1.0
1370216879000;0.71
1370216880000;0.63
1370216881000;0.79
1370216882000;1.0
1370216883000;0.91
1370216884000;0.72
1370216885000;0.91
1370216886000;0.6
1370216887000;1.0
1370216888000;0.81
1370216889000;0.73
1370216890000;0.9299999999999999
1370216891000;0.27
1370216892000;0.73
1370216893000;0.95
1370216894000;0.71
1370216895000;0.73
1370216896000;0.48
1370216897000;0.45999999999999996
1370216898000;0.64
1370216899000;0.83
1370216900000;0.92
1370216901000;0.95
1370216902000;0.53
1370216903000;0.6
1370216904000;0.87
1370216905000;0.99
1370216906000;0.76
1370216907000;0.52
1370216908000;0.9
1370216909000;0.88
1370216910000;0.73
1370216911000;1.0
1370216912000;0.35
1370216913000;0.98
1370216914000;1.0
1370216915000;1.0
1370216916000;0.5800000000000001
1370216917000;0.6599999999999999
1370216918000;0.92
1370216919000;1.0
1370216920000;1.0
1370216921000;1.0
1370216922000;0.6
1370216923000;0.4
1370216924000;0.86
1370216925000;1.0
1370216926000;1.0
1370216927000;0.5700000000000001
1370216928000;0.49
1370216929000;0.8
1370216930000;0.9299999999999999
1370216931000;1.0
1370216932000;0.95
1370216933000;0.6599999999999999
1370216934000;1.0
1370216935000;0.53
1370216936000;0.31999999999999995
1370216937000;1.0
1370216938000;0.81
1370216939000;0.8200000000000001
1370216940000;1.0
1370216941000;1.0
1370216942000;1.0
1370216943000;0.91
1370216944000;0.43000000000000005
1370216945000;0.75
1370216946000;1.0
1370216947000;1.0
1370216948000;1.0
1370216949000;0.81
1370216950000;0.91
1370216951000;0.94
1370216952000;1.0
1370216953000;0.65
1370216954000;0.85
1370216955000;0.51
1370216956000;0.43000000000000005
1370216957000;0.78
1370216958000;1.0
1370216959000;0.8200000000000001
1370216960000;0.6699999999999999
1370216961000;0.7
1370216962000;0.27
1370216963000;0.81
1370216964000;0.83
1370216965000;0.38
1370216966000;0.84
1370216967000;0.85
1370216968000;0.96
1370216969000;1.0
1370216970000;0.5800000000000001
1370216971000;0.6699999999999999
1370216972000;0.83
1370216973000;0.44999999999999996
1370216974000;0.69
1370216975000;0.88
1370216976000;1.0
1370216977000;0.5
1370216978000;0.6599999999999999
1370216979000;0.61
1370216980000;0.5700000000000001
1370216981000;0.73
1370216982000;0.91
1370216983000;0.7
1370216984000;0.61
1370216985000;0.87
1370216986000;0.92
1370216987000;0.6599999999999999
1370216988000;0.62
1370216989000;0.9299999999999999
1370216990000;0.78
1370216991000;1.0
1370216992000;1.0
1370216993000;1.0
1370216994000;0.84
1370216995000;0.29000000000000004
1370216996000;0.54
1370216997000;0.45999999999999996
1370216998000;0.95
1370216999000;0.77
1370217000000;0.65
1370217001000;1.0
1370217002000;0.98
1370217003000;0.6599999999999999
1370217004000;0.4
1370217005000;0.44999999999999996
1370217006000;0.9299999999999999
1370217007000;0.43000000000000005
1370217008000;1.0
1370217009000;1.0
1370217010000;0.9
1370217011000;0.65
1370217012000;0.62
1370217013000;0.87
1370217014000;0.62
1370217015000;0.61
1370217016000;1.0
1370217017000;1.0
1370217018000;0.69
1370217019000;1.0
1370217020000;0.9
1370217021000;0.78
1370217022000;0.49
1370217023000;0.37
1370217024000;1.0
1370217025000;0.75
1370217026000;0.5900000000000001
1370217027000;0.43000000000000005
1370217028000;0.9299999999999999
1370217029000;1.0
1370217030000;1.0
1370217031000;1.0
1370217032000;1.0
1370217033000;0.6599999999999999
1370217034000;0.49
1370217035000;1.0
1370217036000;0.72
1370217037000;0.9
1370217038000;1.0
1370217039000;0.94
1370217040000;0.6599999999999999
1370217041000;0.45999999999999996
1370217042000;0.75
1370217043000;0.87
1370217044000;0.6799999999999999
1370217045000;0.64
1370217046000;0.6
1370217047000;0.72
1370217048000;0.74
1370217049000;0.56
1370217050000;0.77
1370217051000;0.89
1370217052000;0.16000000000000003
1370217053000;0.75
1370217054000;0.71
1370217055000;0.63
1370217056000;0.73
1370217057000;0.9
1370217058000;0.76
1370217059000;1.0
1370217060000;0.31999999999999995
1370217061000;0.64
1370217062000;0.91
1370217063000;1.0
1370217064000;0.96
1370217065000;0.5800000000000001
1370217066000;1.0
1370217067000;0.43999999999999995
1370217068000;0.85
1370217069000;0.4
1370217070000;0.85
1370217071000;1.0
1370217072000;0.97
1370217073000;0.97
1370217074000;0.61
1370217075000;0.61
1370217076000;0.6699999999999999
1370217077000;0.41000000000000003
1370217078000;0.9299999999999999
1370217079000;0.31000000000000005
1370217080000;0.27
1370217081000;0.35
1370217082000;0.43000000000000005
1370217083000;0.5
1370217084000;1.0
1370217085000;0.81
1370217086000;0.84
1370217087000;1.0
1370217088000;1.0
1370217089000;0.8713
1370217090000;0.35
1370217091000;0.54
1370217092000;1.0
1370217093000;1.0
1370217094000;1.0
1370217095000;1.0
1370217096000;0.47
1370217097000;0.62
1370217098000;0.47
1370217099000;0.8200000000000001
1370217100000;1.0
1370217101000;0.77
1370217102000;0.86
1370217103000;0.75
1370217104000;0.31000000000000005
1370217105000;0.6535
1370217106000;0.21999999999999997
1370217107000;0.92
1370217108000;0.83
1370217109000;0.51
1370217110000;0.35
1370217111000;0.8
1370217112000;0.7
1370217113000;0.75
1370217114000;0.69
1370217115000;0.53
1370217116000;0.44999999999999996
1370217117000;0.28
1370217118000;0.88
1370217119000;1.0
1370217120000;1.0
1370217121000;0.94
1370217122000;0.5
1370217123000;0.6599999999999999
1370217124000;0.30000000000000004
1370217125000;0.31000000000000005
1370217126000;0.95
1370217127000;1.0
1370217128000;1.0
1370217129000;1.0
1370217130000;0.64
1370217131000;0.8
1370217132000;0.69
1370217133000;0.62
1370217134000;0.52
1370217135000;0.61
1370217136000;1.0
1370217137000;0.64
1370217138000;1.0
1370217139000;1.0
1370217140000;0.71
1370217141000;0.5900000000000001
1370217142000;0.86
1370217143000;1.0
1370217144000;0.95
1370217145000;0.9299999999999999
1370217146000;0.65
1370217147000;0.39
1370217148000;0.28
1370217149000;0.43999999999999995
1370217150000;0.5800000000000001
1370217151000;0.69
1370217152000;0.62
1370217153000;0.5700000000000001
1370217154000;0.71
1370217155000;0.37
1370217156000;0.8
1370217157000;0.98
1370217158000;0.6
1370217159000;0.42000000000000004
1370217160000;0.65
1370217161000;0.48
1370217162000;0.99
1370217163000;1.0
1370217164000;0.85
1370217165000;0.5700000000000001
1370217166000;0.78
1370217167000;0.42000000000000004
1370217168000;0.63
1370217169000;0.91
1370217170000;0.37
1370217171000;0.48
1370217172000;0.53
1370217173000;0.63
1370217174000;0.43000000000000005
1370217175000;0.63
1370217176000;0.76
1370217177000;0.89
1370217178000;1.0
1370217179000;1.0
1370217180000;1.0
1370217181000;0.6
1370217182000;0.43999999999999995
1370217183000;0.5700000000000001
1370217184000;1.0
1370217185000;0.9
1370217186000;0.89
1370217187000;0.79
1370217188000;0.86
1370217189000;1.0
1370217190000;1.0
1370217191000;0.79
1370217192000;1.0
1370217193000;0.91
1370217194000;1.0
1370217195000;1.0
1370217196000;1.0
1370217197000;1.0
1370217198000;0.32999999999999996
1370217199000;0.5700000000000001
1370217200000;0.55
1370217201000;0.9
1370217202000;0.27
1370217203000;0.75
1370217204000;0.75
1370217205000;0.61
1370217206000;0.62
1370217207000;0.6799999999999999
1370217208000;0.52
