Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565350522008, 15, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012479597397866062; 0.04974857225773991; 0.0078041794593014776]], 8.363772797726613, 
1565350522014, 8, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0014914816448050178; 0.0316507493812275; 0.009228895360525177]], 0.7158023969257905, 
1565350522032, 22, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009421522379919089; 0.02586135079342472; 0.006611863318825473]], 0.7279658213231338, 
1565350522034, 17, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005030198269637504; 0.02091365717628605; 0.0030965293920719463]], 0.3307823179766658, 
1565350522058, 32, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 1.4873065498246643, 
1565350591137, 46, ESTIMATION, -,[[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.44789363580801217, 
1565350591152, 29, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0024219505556315134; 0.031080865580366556; 0.008570220593759625]], 0.5368530589083834, 
1565350591154, 34, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012451769880023434; 0.048916207252403275; 0.007512476008171111]], 17.988053502252047, 
1565350591174, 58, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.44789363580801217, 
1565350591183, 45, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005072306468317602; 0.020539024913523565; 0.003022345113907345]], 0.3260294562538501, 
1565350591194, 48, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009556741509511172; 0.02563109618354864; 0.00669432656488232]], 0.7731728829033189, 
1565350591201, 46, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013981353400279636; 0.019278735878802328; 0.009796986991914022]], 1.5422638394557393, 
1565350661247, 18, ESTIMATION, -,[[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.439920517199576, 
1565350661277, 36, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.439920517199576, 
1565350661286, 48, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01239409405521468; 0.04827862669897; 0.007432578678965008]], 13.343294728134683, 
1565350661288, 33, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.03252900998279207; 0.009217296399556608]], 1.0, 
