Timestamp;WC0
1370111251264;0.185
1370111251334;0.096
1370111251941;0.258
1370111251978;0.031
1370111252174;0.08
1370111252177;0.169
1370111252182;0.199
1370111252578;0.078
1370111252942;0.141
1370111252951;0.118
1370111253062;0.234
1370111253253;0.34
1370111253435;0.162
1370111253695;0.693
1370111253720;0.326
1370111253769;0.108
1370111253976;0.099
1370111254099;0.022
1370111254368;0.068
1370111254606;0.002
1370111254713;0.086
1370111254986;0.008
1370111255430;0.098
1370111255488;0.01
1370111256200;0.44
1370111256427;0.02
1370111257194;0.093
1370111257736;0.009
1370111258313;0.129
1370111259021;0.436
1370111259539;0.063
1370111259641;0.025
1370111260362;0.063
1370111260831;0.328
1370111260845;0.348
1370111261081;0.478
1370111261709;0.122
1370111261784;0.072
1370111261980;0.163
1370111262403;0.005
1370111262602;0.066
1370111262716;0.168
1370111262929;0.005
1370111263104;0.216
1370111263246;0.213
1370111263249;0.34
1370111263397;0.047
1370111263810;0.055
1370111263885;0.066
1370111264492;0.279
1370111264586;0.39
1370111264871;0.052
1370111265270;0.087
1370111265371;0.119
1370111265792;0.406
1370111265885;0.202
1370111265938;0.363
1370111266368;0.103
1370111266771;0.324
1370111266965;0.02
1370111266991;0.058
1370111267246;0.008
1370111267829;0.035
1370111268265;0.06
1370111268320;0.325
1370111268507;0.098
1370111268549;0.027
1370111268622;0.265
1370111268687;0.064
1370111269191;0.075
1370111269257;0.015
1370111269659;0.203
1370111269722;0.053
1370111270355;0.103
1370111271031;0.116
1370111271291;0.068
1370111271504;0.212
1370111271513;0.154
1370111271672;0.136
1370111271743;0.085
1370111271859;0.173
1370111271873;0.504
1370111272309;0.332
1370111272325;0.214
1370111272564;0.039
1370111272859;0.208
1370111273023;0.135
1370111273078;0.475
1370111273189;0.481
1370111273280;0.023
1370111273529;0.068
1370111273822;0.031
1370111273970;0.062
1370111274063;0.072
1370111274304;0.044
1370111274485;0.105
1370111274853;0.303
1370111275453;0.304
1370111275558;0.166
1370111276008;0.055
1370111276182;0.11
1370111276734;0.264
1370111276761;0.214
1370111276767;0.134
1370111277203;0.706
1370111277787;0.511
1370111277885;0.565
1370111278108;0.754
1370111278207;0.202
1370111278331;0.438
1370111278396;0.02
1370111278476;0.018
1370111278573;0.033
1370111278636;0.005
1370111278731;0.024
1370111279304;0.05
1370111279434;0.117
1370111279554;0.078
1370111280455;0.305
1370111280612;0.047
1370111281016;0.077
1370111281092;0.11
1370111281436;0.039
1370111281922;0.085
1370111282762;0.359
1370111282869;0.008
1370111282953;0.062
1370111283032;0.694
1370111283096;0.735
1370111283457;0.058
1370111283478;0.216
1370111283888;0.004
1370111284010;0.089
1370111284134;0.153
1370111284251;0.054
1370111284391;0.057
1370111285097;0.114
1370111285452;0.149
1370111285526;0.027
1370111287003;0.002
1370111287226;0.022
1370111287627;0.058
1370111287833;0.221
1370111287856;0.123
1370111287904;0.419
1370111288946;0.767
1370111288979;0.068
1370111289262;0.05
1370111289401;0.16
1370111289695;0.055
1370111290100;0.696
1370111290121;0.651
1370111290234;0.984
1370111291807;0.23
1370111291930;0.215
1370111292682;0.399
1370111292686;0.485
1370111292838;0.738
1370111293260;0.181
1370111293486;0.042
1370111293720;0.007
1370111293792;0.001
1370111294679;0.098
1370111294680;0.256
1370111295032;0.175
1370111295214;0.104
1370111295462;0.035
1370111295507;0.128
1370111295622;0.731
1370111295624;0.498
1370111296549;0.176
1370111296602;0.164
1370111296860;0.19
1370111297222;0.112
1370111297224;0.109
1370111297560;0.144
1370111298024;0.017
1370111298204;0.107
1370111298599;0.29
1370111298676;0.234
1370111299346;0.121
1370111299724;0.035
