Timestamp;WC0
1370021325217;0.042
1370021325688;0.279
1370021326852;0.235
1370021327518;0.347
1370021327534;0.126
1370021327710;0.086
1370021329071;0.06
1370021329117;0.079
1370021330030;0.155
1370021330876;0.067
1370021331372;0.03
1370021332316;0.163
1370021332464;0.122
1370021333801;0.248
1370021335431;0.081
1370021335475;0.138
1370021336111;0.317
1370021336646;0.134
1370021337047;0.129
1370021338241;0.01
1370021339965;0.064
1370021340414;0.06
1370021340762;0.007
1370021340978;0.074
1370021341196;0.046
1370021342273;0.239
1370021343054;0.278
1370021343325;0.002
1370021343654;0.947
1370021343931;0.498
1370021344571;0.191
1370021345396;0.428
1370021345454;0.414
1370021345790;0.063
1370021346534;0.059
1370021346865;0.052
1370021348530;0.004
1370021348689;0.062
1370021348735;0.0
1370021349013;0.025
1370021351057;0.087
1370021351862;0.084
1370021352084;0.08
1370021352938;0.5
1370021352948;0.519
1370021353237;0.252
1370021353456;0.019
1370021353500;0.034
1370021354827;0.188
1370021355141;0.01
1370021357231;0.089
1370021357442;0.382
1370021357552;0.004
1370021357896;0.177
1370021358703;0.067
1370021359602;0.141
1370021359833;0.019
1370021359994;0.089
1370021360502;0.101
1370021360700;0.339
1370021360795;0.025
1370021361292;0.256
1370021361496;0.051
1370021361775;0.016
1370021362438;0.049
1370021362609;0.197
1370021362837;0.695
1370021363039;0.026
1370021364263;0.421
1370021365236;0.05
1370021365846;0.001
1370021366688;0.077
1370021367622;0.015
1370021367986;0.023
1370021369041;0.137
1370021369522;0.01
1370021369564;0.016
1370021369927;0.093
1370021370454;0.044
1370021370740;0.249
1370021371456;0.116
1370021371471;0.023
1370021372050;0.029
1370021372693;0.379
1370021372706;0.433
1370021373654;0.342
1370021373723;0.219
1370021374629;0.096
1370021375048;0.535
1370021375144;0.459
1370021377165;0.1
1370021378217;0.104
1370021378509;0.122
1370021379866;0.282
1370021380032;0.06
1370021380377;0.03
1370021380519;0.046
1370021380742;0.296
1370021383032;0.844
1370021383093;0.866
1370021383379;0.122
1370021384827;0.124
1370021384916;0.126
1370021385453;0.126
1370021385867;0.299
1370021385929;0.372
1370021386014;0.217
1370021386359;0.199
1370021388782;0.132
1370021390187;0.064
1370021390587;0.069
1370021391285;0.017
1370021391615;0.192
1370021391818;0.137
1370021391886;0.467
1370021392635;0.282
1370021393044;0.025
1370021393564;0.158
1370021393616;0.02
1370021393643;0.28
1370021394164;0.015
1370021394894;0.221
1370021395744;0.098
1370021395912;0.291
1370021395971;0.581
1370021396110;0.179
1370021396250;0.031
1370021397223;0.26
1370021398346;0.081
1370021398823;0.235
1370021398852;0.141
1370021400358;0.125
1370021400700;0.05
1370021401094;0.36
1370021401389;0.571
1370021401397;0.277
1370021402798;0.143
1370021405732;0.073
1370021405839;0.103
1370021407627;0.032
1370021407720;0.062
1370021407859;0.099
1370021410614;0.187
1370021410691;0.315
1370021410979;0.001
1370021411024;0.055
1370021411692;0.132
1370021414759;0.007
1370021414927;0.38
1370021415003;0.368
1370021415683;0.001
1370021415853;0.17
1370021415880;0.013
1370021416027;0.049
1370021416359;0.321
1370021416703;0.582
1370021417803;0.155
1370021418225;0.055
1370021418894;0.002
1370021419170;0.22
1370021419273;0.0
1370021420271;0.141
1370021422867;0.108
1370021423761;0.04
1370021424690;0.055
1370021424888;0.105
1370021425593;0.046
1370021426370;0.001
1370021426977;0.11
1370021427871;0.103
1370021428207;0.193
1370021429332;0.055
1370021431218;0.204
1370021431595;0.311
1370021431985;0.063
1370021433341;0.067
1370021434314;0.39
1370021435427;0.468
1370021435592;0.118
1370021435773;0.022
1370021436469;0.015
1370021436492;0.052
1370021437742;0.269
1370021437778;0.016
1370021438335;0.131
1370021438541;0.593
1370021438728;0.139
1370021439304;0.009
1370021440148;0.042
1370021440595;0.057
1370021440620;0.27
1370021441839;0.17
1370021443339;0.802
1370021443446;0.281
1370021443501;1.06
1370021443622;0.216
1370021445077;0.041
1370021445168;0.028
1370021445423;0.016
1370021446174;0.306
1370021446504;0.042
1370021447783;0.059
1370021448184;0.012
1370021449018;0.148
1370021451575;0.159
1370021455146;0.454
1370021455439;0.275
1370021455828;0.185
1370021455929;0.117
1370021456735;0.15
1370021458615;0.002
1370021459048;0.03
1370021459309;0.041
1370021459332;0.015
1370021461325;0.103
1370021461916;0.438
1370021463199;0.2
1370021464650;0.015
1370021465349;0.205
1370021465922;0.103
1370021466812;0.269
1370021467728;0.619
1370021468306;0.131
1370021470212;0.295
1370021470521;0.173
1370021472158;0.089
1370021473902;0.217
1370021474229;0.463
1370021475227;0.157
1370021475627;0.131
1370021475655;0.046
1370021475949;0.034
1370021475987;0.098
1370021476238;0.393
1370021476620;0.104
1370021477058;0.044
1370021477690;0.001
1370021478238;0.094
1370021478341;0.001
1370021479136;0.056
1370021479807;0.231
1370021480525;0.018
1370021480861;0.043
1370021480902;0.354
1370021482133;0.335
1370021482208;0.168
1370021482371;0.011
1370021482795;0.057
1370021483043;0.045
1370021484035;0.015
1370021484469;0.066
1370021485358;0.126
1370021485566;0.551
1370021485660;0.601
1370021485698;0.788
1370021486102;0.103
1370021486314;0.064
1370021488066;0.214
1370021488655;0.281
1370021488763;0.028
1370021490086;0.177
1370021491080;0.061
1370021491244;0.026
1370021492037;0.172
1370021492135;0.094
1370021492176;0.328
1370021493337;0.109
