Timestamp;WC0;WC1
1370202358000;13.0;23.0
1370202359000;15.0;16.0
1370202360000;18.0;14.0
1370202361000;20.0;14.0
1370202362000;16.0;16.0
1370202363000;21.0;10.0
1370202364000;12.0;22.0
1370202365000;15.0;12.0
1370202366000;19.0;13.0
1370202367000;14.0;13.0
1370202368000;9.0;9.0
1370202369000;13.0;18.0
1370202370000;24.0;13.0
1370202371000;15.0;13.0
1370202372000;11.0;13.0
1370202373000;10.0;11.0
1370202374000;11.0;17.0
1370202375000;18.0;16.0
1370202376000;17.0;14.0
1370202377000;14.0;12.0
1370202378000;7.0;16.0
1370202379000;12.0;20.0
1370202380000;10.0;19.0
1370202381000;10.0;15.0
1370202382000;12.0;16.0
1370202383000;16.0;19.0
1370202384000;20.0;20.0
1370202385000;19.0;16.0
1370202386000;16.0;16.0
1370202387000;16.0;10.0
1370202388000;18.0;15.0
1370202389000;14.0;15.0
1370202390000;12.0;14.0
1370202391000;16.0;12.0
1370202392000;8.0;11.0
1370202393000;12.0;23.0
1370202394000;15.0;16.0
1370202395000;12.0;14.0
1370202396000;13.0;10.0
1370202397000;18.0;20.0
1370202398000;16.0;14.0
1370202399000;17.0;18.0
1370202400000;17.0;13.0
1370202401000;15.0;22.0
1370202402000;19.0;14.0
1370202403000;8.0;19.0
1370202404000;20.0;14.0
1370202405000;20.0;16.0
1370202406000;10.0;17.0
1370202407000;10.0;12.0
1370202408000;12.0;15.0
1370202409000;14.0;16.0
1370202410000;19.0;13.0
1370202411000;18.0;16.0
1370202412000;14.0;15.0
1370202413000;13.0;19.0
1370202414000;17.0;21.0
1370202415000;16.0;17.0
1370202416000;14.0;16.0
1370202417000;6.0;12.0
1370202418000;16.0;13.0
1370202419000;14.0;22.0
1370202420000;13.0;9.0
1370202421000;20.0;13.0
1370202422000;12.0;16.0
1370202423000;13.0;19.0
1370202424000;17.0;16.0
1370202425000;8.0;18.0
1370202426000;13.0;13.0
1370202427000;16.0;23.0
1370202428000;13.0;8.0
1370202429000;10.0;15.0
1370202430000;18.0;21.0
1370202431000;13.0;13.0
1370202432000;20.0;20.0
1370202433000;12.0;15.0
1370202434000;19.0;22.0
1370202435000;14.0;14.0
1370202436000;23.0;18.0
1370202437000;17.0;17.0
1370202438000;13.0;12.0
1370202439000;10.0;17.0
1370202440000;14.0;17.0
1370202441000;9.0;9.0
1370202442000;16.0;15.0
1370202443000;15.0;20.0
1370202444000;14.0;15.0
1370202445000;17.0;11.0
1370202446000;12.0;14.0
1370202447000;10.0;19.0
1370202448000;11.0;19.0
1370202449000;10.0;19.0
1370202450000;9.0;14.0
1370202451000;11.0;19.0
1370202452000;16.0;14.0
1370202453000;15.0;9.0
1370202454000;11.0;14.0
1370202455000;14.0;15.0
1370202456000;13.0;12.0
1370202457000;17.0;14.0
1370202458000;13.0;17.0
1370202459000;19.0;19.0
1370202460000;18.0;12.0
1370202461000;10.0;15.0
1370202462000;11.0;21.0
1370202463000;15.0;14.0
1370202464000;19.0;20.0
1370202465000;12.0;18.0
1370202466000;17.0;15.0
1370202467000;10.0;15.0
1370202468000;23.0;19.0
1370202469000;19.0;16.0
1370202470000;10.0;14.0
1370202471000;17.0;12.0
1370202472000;16.0;15.0
1370202473000;16.0;10.0
1370202474000;16.0;18.0
1370202475000;16.0;15.0
1370202476000;19.0;12.0
1370202477000;11.0;17.0
1370202478000;15.0;17.0
1370202479000;17.0;15.0
1370202480000;11.0;15.0
1370202481000;10.0;11.0
1370202482000;15.0;19.0
1370202483000;16.0;11.0
1370202484000;13.0;12.0
1370202485000;15.0;11.0
1370202486000;17.0;17.0
1370202487000;17.0;16.0
1370202488000;12.0;13.0
1370202489000;17.0;18.0
1370202490000;12.0;12.0
1370202491000;17.0;13.0
1370202492000;17.0;8.0
1370202493000;15.0;12.0
1370202494000;15.0;7.0
1370202495000;13.0;19.0
1370202496000;13.0;12.0
1370202497000;15.0;15.0
1370202498000;18.0;15.0
1370202499000;28.0;14.0
1370202500000;12.0;17.0
1370202501000;9.0;12.0
1370202502000;9.0;13.0
1370202503000;10.0;13.0
1370202504000;15.0;17.0
1370202505000;18.0;13.0
1370202506000;11.0;11.0
1370202507000;16.0;12.0
1370202508000;10.0;12.0
1370202509000;13.0;21.0
1370202510000;11.0;10.0
1370202511000;15.0;20.0
1370202512000;13.0;16.0
1370202513000;14.0;11.0
1370202514000;17.0;12.0
1370202515000;17.0;20.0
1370202516000;23.0;9.0
1370202517000;12.0;15.0
1370202518000;14.0;11.0
1370202519000;16.0;17.0
1370202520000;20.0;16.0
1370202521000;10.0;12.0
1370202522000;12.0;18.0
1370202523000;17.0;15.0
1370202524000;10.0;12.0
1370202525000;15.0;19.0
1370202526000;9.0;17.0
1370202527000;16.0;11.0
1370202528000;18.0;16.0
1370202529000;8.0;19.0
1370202530000;22.0;14.0
1370202531000;8.0;18.0
1370202532000;17.0;17.0
1370202533000;15.0;16.0
1370202534000;11.0;22.0
1370202535000;12.0;13.0
1370202536000;14.0;13.0
1370202537000;16.0;19.0
1370202538000;14.0;19.0
1370202539000;16.0;14.0
1370202540000;8.0;21.0
1370202541000;15.0;11.0
1370202542000;16.0;13.0
1370202543000;15.0;12.0
1370202544000;15.0;6.0
1370202545000;10.0;18.0
1370202546000;16.0;15.0
1370202547000;13.0;12.0
1370202548000;15.0;18.0
1370202549000;13.0;14.0
1370202550000;18.0;16.0
1370202551000;13.0;18.0
1370202552000;10.0;15.0
1370202553000;16.0;18.0
1370202554000;18.0;14.0
1370202555000;15.0;16.0
1370202556000;11.0;9.0
1370202557000;12.0;19.0
1370202558000;14.0;26.0
1370202559000;13.0;18.0
1370202560000;12.0;12.0
1370202561000;19.0;14.0
1370202562000;13.0;14.0
1370202563000;16.0;21.0
1370202564000;18.0;16.0
1370202565000;15.0;13.0
1370202566000;11.0;16.0
1370202567000;13.0;11.0
1370202568000;11.0;15.0
1370202569000;12.0;17.0
1370202570000;21.0;13.0
1370202571000;10.0;17.0
1370202572000;7.0;9.0
1370202573000;16.0;17.0
1370202574000;18.0;21.0
1370202575000;13.0;10.0
1370202576000;15.0;19.0
1370202577000;23.0;12.0
1370202578000;19.0;6.0
1370202579000;17.0;17.0
1370202580000;16.0;19.0
1370202581000;17.0;16.0
1370202582000;9.0;9.0
1370202583000;13.0;19.0
1370202584000;12.0;12.0
1370202585000;17.0;13.0
1370202586000;20.0;13.0
1370202587000;17.0;19.0
1370202588000;15.0;15.0
1370202589000;18.0;16.0
1370202590000;11.0;22.0
1370202591000;18.0;14.0
1370202592000;11.0;18.0
1370202593000;21.0;13.0
1370202594000;11.0;19.0
1370202595000;16.0;12.0
1370202596000;11.0;16.0
1370202597000;12.0;17.0
1370202598000;17.0;9.0
1370202599000;18.0;13.0
1370202600000;13.0;23.0
1370202601000;13.0;15.0
1370202602000;15.0;16.0
1370202603000;24.0;12.0
1370202604000;7.0;11.0
1370202605000;14.0;11.0
1370202606000;17.0;16.0
1370202607000;12.0;9.0
1370202608000;21.0;14.0
1370202609000;9.0;25.0
1370202610000;15.0;14.0
1370202611000;17.0;21.0
1370202612000;14.0;20.0
1370202613000;14.0;16.0
1370202614000;16.0;23.0
1370202615000;17.0;14.0
1370202616000;17.0;17.0
1370202617000;14.0;14.0
1370202618000;19.0;19.0
1370202619000;16.0;12.0
1370202620000;15.0;20.0
1370202621000;14.0;17.0
1370202622000;18.0;16.0
1370202623000;11.0;9.0
1370202624000;14.0;20.0
1370202625000;16.0;10.0
1370202626000;19.0;14.0
1370202627000;16.0;12.0
1370202628000;20.0;10.0
1370202629000;13.0;17.0
1370202630000;20.0;12.0
1370202631000;11.0;12.0
1370202632000;18.0;18.0
1370202633000;18.0;19.0
1370202634000;19.0;13.0
1370202635000;12.0;13.0
1370202636000;18.0;11.0
1370202637000;11.0;22.0
1370202638000;11.0;18.0
1370202639000;20.0;10.0
1370202640000;14.0;17.0
1370202641000;18.0;15.0
1370202642000;13.0;12.0
1370202643000;14.0;18.0
1370202644000;15.0;11.0
1370202645000;11.0;20.0
1370202646000;16.0;12.0
1370202647000;14.0;11.0
1370202648000;15.0;17.0
1370202649000;12.0;16.0
1370202650000;13.0;13.0
1370202651000;18.0;16.0
1370202652000;10.0;18.0
1370202653000;14.0;18.0
1370202654000;17.0;21.0
1370202655000;15.0;9.0
1370202656000;12.0;16.0
1370202657000;13.0;10.0
1370202658000;15.0;17.0
1370202659000;16.0;18.0
1370202660000;18.0;12.0
1370202661000;21.0;11.0
1370202662000;10.0;19.0
1370202663000;20.0;14.0
1370202664000;12.0;9.0
1370202665000;13.0;13.0
1370202666000;17.0;21.0
1370202667000;22.0;14.0
1370202668000;12.0;15.0
1370202669000;14.0;17.0
1370202670000;18.0;14.0
1370202671000;10.0;14.0
1370202672000;20.0;15.0
1370202673000;13.0;11.0
1370202674000;14.0;11.0
1370202675000;8.0;15.0
1370202676000;20.0;17.0
1370202677000;5.0;18.0
1370202678000;11.0;16.0
1370202679000;18.0;9.0
1370202680000;12.0;15.0
1370202681000;16.0;13.0
1370202682000;15.0;18.0
1370202683000;18.0;19.0
1370202684000;12.0;15.0
1370202685000;14.0;15.0
1370202686000;14.0;15.0
1370202687000;18.0;15.0
1370202688000;14.0;15.0
1370202689000;11.0;21.0
1370202690000;15.0;15.0
1370202691000;13.0;14.0
1370202692000;19.0;15.0
1370202693000;14.0;14.0
1370202694000;19.0;10.0
1370202695000;19.0;20.0
1370202696000;13.0;14.0
1370202697000;21.0;14.0
1370202698000;14.0;12.0
1370202699000;11.0;20.0
1370202700000;9.0;17.0
1370202701000;15.0;7.0
1370202702000;16.0;14.0
1370202703000;8.0;22.0
1370202704000;21.0;15.0
1370202705000;17.0;12.0
1370202706000;18.0;13.0
1370202707000;13.0;18.0
1370202708000;11.0;16.0
1370202709000;10.0;10.0
1370202710000;18.0;16.0
1370202711000;13.0;18.0
1370202712000;15.0;13.0
1370202713000;13.0;17.0
1370202714000;16.0;12.0
1370202715000;13.0;15.0
1370202716000;14.0;14.0
1370202717000;18.0;17.0
1370202718000;12.0;16.0
1370202719000;19.0;18.0
1370202720000;13.0;18.0
1370202721000;15.0;12.0
1370202722000;13.0;10.0
1370202723000;13.0;12.0
1370202724000;19.0;12.0
1370202725000;14.0;13.0
1370202726000;19.0;13.0
1370202727000;16.0;17.0
1370202728000;10.0;14.0
1370202729000;16.0;15.0
1370202730000;14.0;13.0
1370202731000;18.0;17.0
1370202732000;15.0;15.0
1370202733000;17.0;15.0
1370202734000;18.0;21.0
1370202735000;18.0;17.0
1370202736000;14.0;13.0
1370202737000;13.0;11.0
1370202738000;14.0;10.0
1370202739000;14.0;18.0
1370202740000;14.0;10.0
1370202741000;21.0;16.0
1370202742000;18.0;19.0
1370202743000;17.0;16.0
1370202744000;14.0;10.0
1370202745000;12.0;15.0
1370202746000;13.0;17.0
1370202747000;13.0;17.0
1370202748000;9.0;16.0
1370202749000;9.0;16.0
1370202750000;14.0;21.0
1370202751000;18.0;16.0
1370202752000;17.0;14.0
1370202753000;13.0;18.0
1370202754000;15.0;12.0
1370202755000;11.0;12.0
1370202756000;12.0;15.0
1370202757000;12.0;13.0
1370202758000;16.0;16.0
1370202759000;20.0;14.0
1370202760000;17.0;11.0
1370202761000;16.0;12.0
1370202762000;20.0;11.0
1370202763000;15.0;17.0
1370202764000;18.0;16.0
1370202765000;15.0;11.0
1370202766000;23.0;11.0
1370202767000;15.0;17.0
1370202768000;15.0;15.0
