Timestamp;WC1
1370137351179;0.091
1370137351354;0.229
1370137351407;0.128
1370137351449;0.01
1370137352082;0.052
1370137352565;0.146
1370137353462;0.052
1370137353730;0.002
1370137353932;0.283
1370137354222;0.186
1370137354503;0.125
1370137355414;0.068
1370137355702;0.032
1370137355966;0.405
1370137356255;0.23
1370137356564;0.184
1370137357019;0.088
1370137357101;0.566
1370137357110;0.005
1370137357576;0.084
1370137357636;0.015
1370137358003;0.114
1370137359603;0.005
1370137359611;0.336
1370137359783;0.94
1370137359865;0.35
1370137359993;0.81
1370137360683;0.344
1370137361032;0.05
1370137361201;0.13
1370137361269;0.16
1370137361276;0.046
1370137361643;0.333
1370137361818;0.013
1370137362162;0.03
1370137362580;0.178
1370137362924;0.035
1370137362997;0.609
1370137363436;0.008
1370137364607;0.382
1370137364827;0.108
1370137364889;0.01
1370137365052;0.255
1370137365054;0.339
1370137365535;0.0
1370137365572;0.162
1370137366425;0.224
1370137366466;0.352
1370137366563;0.001
1370137366876;0.185
1370137367223;0.056
1370137367470;0.208
1370137368305;0.057
1370137368537;0.088
1370137369385;0.095
1370137369916;0.115
1370137370197;0.063
1370137370576;0.346
1370137370603;0.018
1370137370687;0.475
1370137370699;0.208
1370137371857;0.008
1370137371864;0.097
1370137371911;0.142
1370137371927;0.062
1370137372595;0.722
1370137372805;0.377
1370137373018;1.545
1370137373682;0.103
1370137373683;0.189
1370137373898;0.18
1370137374078;0.524
1370137374139;0.389
1370137374184;0.373
1370137374817;0.543
1370137374953;0.606
1370137375228;0.078
1370137375248;0.009
1370137375763;0.032
1370137376215;0.036
1370137376592;0.132
1370137377233;0.055
1370137377252;0.208
1370137377494;0.135
1370137379174;0.105
1370137379291;0.415
1370137379408;0.144
1370137379518;0.077
1370137379549;0.016
1370137380074;0.455
1370137380171;0.202
1370137380588;0.28
1370137380761;0.194
1370137380837;0.711
1370137381022;0.142
1370137381754;0.235
1370137382259;0.158
1370137382776;0.067
1370137384072;0.024
1370137384169;0.058
1370137384608;0.059
1370137384798;0.104
1370137384953;0.147
1370137385103;0.101
1370137385521;0.123
1370137385737;0.767
1370137385982;0.09
1370137386212;0.256
1370137386254;0.27
1370137386993;0.002
1370137387017;0.01
1370137388108;0.204
1370137388120;0.078
1370137388345;0.008
1370137388350;0.149
1370137388477;0.067
1370137388938;0.077
1370137389474;0.183
1370137389784;0.124
1370137390308;0.511
1370137390514;0.551
1370137391271;0.235
1370137391493;0.344
1370137391564;0.724
1370137393107;0.124
1370137393125;0.031
1370137393133;0.194
1370137393567;0.02
1370137393927;0.125
1370137394678;0.065
1370137394708;0.119
1370137395433;0.176
1370137395451;0.076
1370137395592;0.102
1370137395648;0.48
1370137396994;0.083
1370137397064;0.389
1370137397087;0.303
1370137397188;0.424
1370137397209;0.0
1370137398230;0.074
1370137398427;0.57
1370137398563;0.29
1370137399266;0.284
1370137399377;0.001
1370137399392;0.237
1370137399514;0.08
1370137400075;0.397
1370137400118;0.413
1370137400716;0.173
1370137401185;0.155
1370137401190;0.214
1370137401402;0.272
1370137402001;0.205
1370137402041;0.081
1370137402180;0.074
1370137402342;0.179
1370137403407;0.094
1370137404033;0.031
1370137404166;0.122
1370137404258;0.001
1370137404639;0.352
1370137404861;0.634
1370137405043;0.123
1370137405526;0.104
1370137405741;0.02
1370137405788;0.035
1370137406421;0.211
1370137406909;0.001
1370137406932;0.045
1370137407080;0.097
1370137407162;0.082
1370137407518;0.003
1370137407829;0.277
1370137408107;0.858
1370137408203;0.007
1370137408732;0.016
1370137409643;0.013
1370137409982;0.194
1370137410006;0.352
1370137410289;0.025
1370137410567;0.176
1370137410939;0.191
1370137411198;0.097
1370137412342;0.03
1370137413131;0.061
1370137413578;0.25
1370137415465;0.013
1370137416175;0.411
1370137416331;0.462
1370137416373;0.133
1370137416953;0.238
1370137417086;0.062
1370137417534;0.138
1370137418320;0.167
1370137418742;0.018
1370137418813;0.1
1370137419140;0.02
1370137419232;0.005
1370137419558;0.114
1370137420096;0.071
1370137421298;0.094
1370137421529;0.055
1370137421626;0.164
1370137421968;0.294
1370137422575;0.12
1370137423137;0.37
1370137423269;0.451
1370137423458;0.396
1370137423792;0.05
1370137424232;0.028
1370137424533;0.027
1370137424679;0.007
1370137424891;0.093
1370137425174;0.109
1370137426661;0.115
1370137426811;0.124
1370137428174;0.019
1370137428388;0.194
1370137428740;0.106
1370137428967;0.818
1370137428973;0.11
1370137429061;0.051
1370137429559;1.08
1370137430352;1.187
1370137430368;0.166
1370137430892;0.023
1370137431637;0.055
1370137431952;0.178
1370137432135;0.169
1370137432416;0.756
1370137434206;0.03
1370137434424;0.135
1370137434654;0.434
1370137434720;0.222
1370137434969;0.001
1370137435446;0.187
1370137435610;0.528
1370137435782;0.057
1370137435788;0.038
1370137436655;0.461
1370137436980;0.871
1370137437087;0.377
1370137437657;0.016
1370137438876;0.804
1370137438976;0.95
1370137439010;0.528
1370137439272;0.814
1370137439396;0.288
1370137439409;0.012
1370137439690;0.022
1370137440191;0.16
1370137440407;0.086
1370137441161;0.336
1370137441172;0.554
1370137441368;0.117
1370137441428;0.092
1370137441706;0.151
1370137441926;0.461
1370137442275;0.038
1370137442430;0.048
1370137443665;0.304
1370137444108;0.261
1370137444199;0.046
1370137444407;0.535
1370137445745;0.256
1370137446719;0.025
1370137447358;1.208
1370137447410;0.777
1370137447783;1.553
1370137447987;0.461
1370137448037;0.177
1370137448204;0.046
1370137448345;0.175
1370137448631;0.165
1370137448941;0.141
1370137449513;0.02
1370137449544;0.524
1370137449633;0.365
1370137450110;0.149
1370137450575;0.131
1370137451290;0.383
1370137451515;0.105
1370137451870;0.212
1370137452157;0.944
1370137455258;0.144
1370137455842;0.002
1370137456437;0.035
1370137456485;0.063
1370137457532;0.9
1370137457622;0.082
1370137457730;0.14
1370137457842;0.096
1370137458431;0.265
1370137458457;0.64
1370137459084;0.041
1370137459558;0.215
1370137460411;0.15
1370137461015;0.062
1370137461439;0.144
1370137461523;0.024
1370137461778;0.047
1370137461830;0.02
1370137462154;0.011
1370137462777;0.131
1370137463316;0.02
1370137463562;0.039
1370137464602;0.656
1370137464863;0.564
1370137465026;0.55
1370137465327;0.159
1370137465891;0.217
1370137467592;0.002
1370137468999;0.604
1370137469171;0.484
1370137469309;0.084
1370137469689;0.231
1370137470552;0.921
1370137470709;1.067
1370137470786;0.975
1370137471059;1.049
1370137471082;0.504
1370137471968;0.016
1370137472244;0.046
1370137472394;0.146
1370137472434;0.076
1370137472437;0.018
1370137473322;0.054
1370137473415;0.01
1370137473802;0.001
1370137473982;0.522
1370137474539;0.015
1370137474727;0.167
1370137475252;0.059
1370137475840;0.449
1370137476410;0.233
1370137476496;0.404
1370137476887;0.071
1370137477079;0.348
1370137477347;0.246
1370137477415;0.824
1370137477716;0.076
1370137477926;0.167
1370137478457;0.011
1370137478459;0.364
1370137478464;0.119
1370137478692;0.317
1370137478897;0.225
1370137478994;0.055
1370137479555;0.174
1370137480151;0.137
1370137480165;0.36
1370137480244;0.592
1370137480537;0.258
1370137481464;0.438
1370137481489;0.604
1370137481530;0.037
1370137481845;0.067
1370137482407;0.513
1370137482583;0.167
1370137483692;0.044
1370137483985;0.305
1370137484075;0.292
1370137485818;0.047
1370137485991;0.043
1370137486190;0.085
1370137486320;0.041
1370137486513;0.051
1370137486791;0.044
1370137486873;0.026
1370137487617;0.504
1370137487871;0.82
1370137488145;0.31
1370137488212;0.242
1370137488362;0.064
1370137488424;0.018
1370137489202;0.04
1370137490024;0.005
1370137490388;0.024
1370137490699;0.081
1370137491303;0.043
1370137491381;0.268
1370137491549;0.015
1370137491746;0.005
1370137491801;0.15
1370137492018;0.173
1370137492211;0.059
1370137492851;0.055
1370137493031;0.117
1370137493380;0.086
1370137493420;0.018
1370137493522;0.126
1370137493759;0.049
1370137494309;0.0
1370137494553;0.292
1370137494768;0.09
1370137494823;0.151
1370137494956;0.132
1370137495016;0.308
1370137495553;0.02
1370137495934;0.004
1370137496662;0.16
1370137496712;0.116
1370137496977;0.011
1370137498027;0.193
1370137498106;0.283
1370137498216;0.013
1370137498731;0.465
1370137499382;0.031
1370137499441;0.031
1370137500059;0.03
1370137500432;0.032
1370137500496;0.278
1370137500824;0.23
1370137500999;0.397
1370137501298;0.192
1370137501802;0.454
1370137501879;0.612
1370137502748;0.102
1370137503105;0.269
1370137503179;0.278
1370137503409;0.191
1370137503655;0.04
1370137503696;0.088
1370137504102;0.218
1370137504490;0.305
1370137505155;0.128
1370137505259;0.063
1370137505358;0.134
1370137505426;0.256
1370137505552;0.085
1370137507244;0.176
1370137507660;0.06
1370137507966;0.371
1370137508729;0.145
1370137509617;0.251
1370137509774;0.438
1370137510122;0.184
1370137510248;0.086
1370137510551;0.24
1370137510866;0.063
1370137511213;0.213
1370137511263;0.001
1370137511982;0.06
1370137512732;0.084
1370137513458;0.544
1370137514050;0.03
1370137514131;0.022
1370137514471;0.272
1370137514817;0.166
1370137515082;0.415
1370137515170;0.218
1370137515381;0.461
1370137515541;0.45
1370137515614;0.022
1370137515906;0.208
1370137516200;0.194
1370137516391;0.056
1370137516500;0.047
1370137516651;0.247
1370137517007;0.059
1370137517277;0.323
1370137517402;0.036
1370137517670;0.171
1370137517711;0.235
1370137518624;0.303
1370137518835;0.156
1370137519124;0.054
1370137519285;0.159
1370137519827;0.138
1370137520373;0.227
1370137520629;0.16
1370137520691;0.141
1370137520733;0.086
1370137520901;0.797
1370137520901;0.957
1370137521296;0.208
1370137521359;0.124
1370137521697;0.042
1370137522053;0.21
1370137522335;0.097
1370137523420;0.949
1370137523455;0.605
1370137523474;0.051
1370137524113;0.233
1370137524762;0.148
1370137525153;0.213
1370137525173;0.084
1370137525732;0.092
1370137525786;0.012
1370137526516;0.05
1370137526796;0.061
1370137527968;0.077
1370137528063;0.008
1370137528308;0.068
1370137528630;0.035
1370137528873;0.04
1370137529579;0.851
1370137529938;0.396
1370137533560;0.3
1370137533872;0.213
1370137533940;0.69
1370137534104;0.533
1370137534421;0.295
1370137534601;0.004
1370137534989;0.046
1370137535523;0.128
1370137535787;0.059
1370137536094;0.133
1370137536991;0.005
1370137537713;0.212
1370137538130;0.093
1370137538587;0.037
1370137538805;0.15
1370137538816;0.272
1370137538943;0.206
1370137539012;0.405
1370137539122;0.814
1370137539240;0.751
1370137539994;0.04
1370137540127;0.026
1370137540194;0.06
1370137540463;0.35
1370137541016;0.791
1370137541051;0.206
1370137541425;0.127
1370137542587;0.077
1370137542700;0.161
