Timestamp;WC0;WC1;WC2
1370146708000;8.0;4.0;2.0
1370146709000;6.0;3.0;5.0
1370146710000;4.0;9.0;2.0
1370146711000;3.0;0.0;4.0
1370146712000;5.0;5.0;3.0
1370146713000;3.0;3.0;4.0
1370146714000;4.0;4.0;5.0
1370146715000;1.0;4.0;4.0
1370146716000;2.0;5.0;5.0
1370146717000;6.0;4.0;2.0
1370146718000;4.0;3.0;4.0
1370146719000;0.0;2.0;3.0
1370146720000;2.0;3.0;3.0
1370146721000;1.0;3.0;1.0
1370146722000;6.0;4.0;4.0
1370146723000;4.0;5.0;1.0
1370146724000;1.0;4.0;4.0
1370146725000;3.0;5.0;1.0
1370146726000;0.0;5.0;4.0
1370146727000;4.0;3.0;6.0
1370146728000;4.0;2.0;3.0
1370146729000;3.0;2.0;2.0
1370146730000;5.0;3.0;2.0
1370146731000;2.0;5.0;1.0
1370146732000;1.0;2.0;1.0
1370146733000;2.0;5.0;1.0
1370146734000;3.0;4.0;4.0
1370146735000;4.0;3.0;4.0
1370146736000;1.0;1.0;2.0
1370146737000;2.0;5.0;5.0
1370146738000;5.0;6.0;5.0
1370146739000;4.0;5.0;0.0
1370146740000;6.0;4.0;2.0
1370146741000;1.0;5.0;4.0
1370146742000;4.0;3.0;2.0
1370146743000;3.0;4.0;4.0
1370146744000;4.0;4.0;7.0
1370146745000;6.0;2.0;3.0
1370146746000;3.0;3.0;3.0
1370146747000;4.0;1.0;2.0
1370146748000;4.0;3.0;2.0
1370146749000;6.0;4.0;3.0
1370146750000;3.0;4.0;2.0
1370146751000;4.0;3.0;3.0
1370146752000;6.0;4.0;5.0
1370146753000;6.0;4.0;3.0
1370146754000;2.0;2.0;4.0
1370146755000;4.0;3.0;3.0
1370146756000;6.0;4.0;1.0
1370146757000;1.0;2.0;1.0
1370146758000;3.0;3.0;4.0
1370146759000;3.0;2.0;3.0
1370146760000;5.0;2.0;4.0
1370146761000;2.0;4.0;5.0
1370146762000;6.0;2.0;4.0
1370146763000;2.0;1.0;2.0
1370146764000;5.0;2.0;5.0
1370146765000;4.0;2.0;4.0
1370146766000;3.0;2.0;3.0
1370146767000;4.0;3.0;5.0
1370146768000;2.0;3.0;3.0
1370146769000;6.0;2.0;4.0
1370146770000;5.0;0.0;2.0
1370146771000;5.0;7.0;5.0
1370146772000;4.0;5.0;2.0
1370146773000;8.0;4.0;4.0
1370146774000;3.0;3.0;6.0
1370146775000;6.0;2.0;2.0
1370146776000;5.0;5.0;4.0
1370146777000;4.0;5.0;4.0
1370146778000;2.0;2.0;2.0
1370146779000;4.0;2.0;4.0
1370146780000;3.0;4.0;5.0
1370146781000;2.0;3.0;6.0
1370146782000;3.0;2.0;1.0
1370146783000;2.0;3.0;1.0
1370146784000;3.0;4.0;4.0
1370146785000;5.0;1.0;2.0
1370146786000;4.0;1.0;4.0
1370146787000;1.0;6.0;3.0
1370146788000;4.0;1.0;1.0
1370146789000;4.0;2.0;3.0
1370146790000;3.0;3.0;3.0
1370146791000;4.0;5.0;4.0
1370146792000;3.0;7.0;4.0
1370146793000;2.0;3.0;4.0
1370146794000;5.0;3.0;6.0
1370146795000;2.0;2.0;6.0
1370146796000;4.0;3.0;3.0
1370146797000;2.0;3.0;3.0
1370146798000;3.0;4.0;4.0
1370146799000;5.0;4.0;3.0
1370146800000;3.0;1.0;2.0
1370146801000;3.0;6.0;5.0
1370146802000;2.0;3.0;3.0
1370146803000;4.0;3.0;3.0
1370146804000;1.0;1.0;7.0
1370146805000;2.0;5.0;4.0
1370146806000;4.0;1.0;3.0
1370146807000;4.0;4.0;5.0
1370146808000;2.0;3.0;1.0
1370146809000;4.0;4.0;1.0
1370146810000;3.0;4.0;5.0
1370146811000;3.0;3.0;5.0
1370146812000;3.0;4.0;1.0
1370146813000;2.0;4.0;5.0
1370146814000;2.0;4.0;3.0
1370146815000;3.0;1.0;2.0
1370146816000;4.0;5.0;4.0
1370146817000;1.0;6.0;3.0
1370146818000;7.0;8.0;2.0
1370146819000;6.0;3.0;5.0
1370146820000;0.0;3.0;3.0
1370146821000;3.0;2.0;2.0
1370146822000;2.0;4.0;8.0
1370146823000;6.0;5.0;4.0
1370146824000;5.0;3.0;5.0
1370146825000;3.0;8.0;5.0
1370146826000;2.0;0.0;3.0
1370146827000;1.0;2.0;1.0
1370146828000;6.0;7.0;4.0
1370146829000;6.0;7.0;3.0
1370146830000;5.0;1.0;6.0
1370146831000;3.0;1.0;7.0
1370146832000;1.0;2.0;4.0
1370146833000;1.0;2.0;4.0
1370146834000;1.0;2.0;3.0
1370146835000;3.0;2.0;2.0
