Timestamp;WC0
1370095840020;0.429
1370095840362;0.227
1370095840516;0.229
1370095840547;0.119
1370095840644;0.558
1370095841746;0.055
1370095841807;0.025
1370095843365;0.04
1370095845607;0.116
1370095845815;0.051
1370095846558;0.018
1370095846771;0.077
1370095846947;0.131
1370095848682;0.013
1370095849117;0.104
1370095849240;0.207
1370095849293;0.001
1370095849699;0.046
1370095849973;0.061
1370095850013;0.025
1370095850431;0.008
1370095851476;0.026
1370095852257;0.024
1370095852812;0.371
1370095853047;0.379
1370095853170;0.827
1370095853919;0.049
1370095854970;0.015
1370095855368;0.11
1370095855381;0.136
1370095856531;0.069
1370095856781;0.137
1370095856787;0.115
1370095857651;0.203
1370095860534;0.019
1370095860994;0.133
1370095861199;0.078
1370095861974;0.002
1370095862799;0.021
1370095863027;0.252
1370095863791;0.02
1370095864116;0.248
1370095864529;0.088
1370095865414;0.251
1370095865501;0.2
1370095865612;0.055
1370095866207;0.087
1370095866293;0.03
1370095866298;0.025
1370095866825;0.0
1370095867118;0.189
1370095867533;0.124
1370095867839;0.002
1370095868290;0.124
1370095869619;0.064
1370095869674;0.028
1370095869700;0.017
1370095869892;0.122
1370095870895;0.001
1370095873538;0.048
1370095873906;0.072
1370095875027;0.035
1370095875138;0.001
1370095875696;0.076
1370095875832;0.01
1370095876012;0.059
1370095876425;0.142
1370095876560;0.166
1370095876605;0.2
1370095877041;0.063
1370095877320;0.047
1370095877739;0.224
1370095877993;0.008
1370095878148;0.042
1370095878361;0.001
1370095878624;0.005
1370095878708;0.004
1370095878863;0.065
1370095878964;0.01
1370095879435;0.145
1370095879543;0.279
1370095879931;0.072
1370095880940;0.136
1370095881187;0.061
1370095881526;0.292
1370095881782;0.477
1370095881874;0.015
1370095881949;0.022
1370095881950;0.028
1370095882177;0.026
1370095882503;0.066
1370095882758;0.07
1370095882836;0.245
1370095883435;0.283
1370095883944;0.315
1370095884018;0.033
1370095884999;0.21
1370095885144;0.013
1370095886268;0.275
1370095886285;0.1
1370095886286;0.196
1370095886617;0.0
1370095886629;0.005
1370095888950;0.34
1370095889822;0.52
1370095890150;0.023
1370095890345;0.034
1370095890745;0.063
1370095890753;0.002
1370095890807;0.141
1370095890920;0.144
1370095890998;0.164
1370095891417;0.088
1370095891477;0.044
1370095892704;0.066
1370095892978;0.044
1370095894321;0.093
1370095894565;0.058
1370095895081;0.004
1370095895746;0.151
1370095895947;0.133
1370095896120;0.053
1370095896715;0.04
1370095897497;0.295
1370095897633;0.049
1370095898131;0.005
1370095898322;0.063
1370095898855;0.113
1370095899335;0.181
1370095899432;0.001
1370095899873;0.004
1370095900371;0.262
1370095900589;0.034
1370095901156;0.251
1370095901729;0.065
1370095901818;0.005
1370095902488;0.028
1370095903150;0.03
1370095903870;0.016
1370095904605;0.1
1370095904829;0.015
1370095905086;0.009
1370095905218;0.019
1370095906013;0.143
1370095907082;0.19
1370095907471;0.03
1370095907828;0.059
1370095908808;0.244
1370095909226;0.011
1370095909433;0.414
1370095909949;0.224
1370095910188;0.389
1370095910365;0.559
1370095910509;0.033
1370095910618;0.015
1370095910941;0.002
1370095911264;0.207
1370095911557;0.098
1370095912111;0.094
1370095912377;0.107
1370095913214;0.072
1370095913429;0.309
1370095913558;0.16
1370095913751;0.042
1370095913839;0.009
1370095913875;0.01
1370095914273;0.297
1370095915261;0.146
1370095915323;0.546
1370095916473;0.133
1370095916532;0.09
1370095916895;0.03
1370095917192;0.001
1370095917266;0.13
1370095917396;0.186
1370095917746;0.007
1370095918105;0.2
1370095920534;0.63
1370095920768;0.022
1370095920913;0.012
1370095920967;0.186
1370095921644;0.082
1370095923430;0.484
1370095923527;0.596
1370095923971;0.211
1370095924022;0.328
1370095924759;0.293
1370095924784;0.264
1370095925107;0.039
1370095925159;0.093
1370095925422;0.263
1370095927561;0.034
1370095927929;0.154
1370095928431;0.055
1370095928954;0.061
1370095929873;0.051
1370095930535;0.048
1370095931123;0.002
1370095931448;0.474
1370095931649;0.621
1370095931741;0.704
1370095932351;1.18
1370095932377;0.197
1370095932460;0.106
1370095932792;0.003
1370095932805;0.031
1370095932942;0.044
1370095934315;0.125
1370095934836;0.069
1370095934846;0.128
1370095935070;0.152
1370095935382;0.068
1370095935777;0.025
1370095935824;0.008
1370095936072;0.245
1370095936172;0.048
1370095936463;0.096
1370095936875;0.004
1370095937272;0.288
1370095937727;0.034
1370095938058;0.064
1370095938240;0.007
1370095938490;0.019
1370095938763;0.009
1370095939111;0.02
1370095939190;0.018
1370095939681;0.311
1370095939912;0.051
1370095939920;0.14
1370095940086;0.848
1370095940188;0.344
1370095940967;0.085
1370095941509;0.034
1370095942362;0.02
1370095942969;0.207
1370095943031;0.415
1370095943836;0.05
1370095944073;0.064
1370095944578;0.458
1370095944806;0.05
1370095945088;0.064
1370095945111;0.119
1370095945518;0.0
1370095945607;0.201
1370095945864;0.189
1370095945945;0.015
1370095946684;0.46
1370095946841;0.088
1370095947043;0.044
1370095948343;0.026
1370095948558;0.067
1370095948821;0.023
1370095949686;0.091
1370095951451;0.088
1370095951530;0.097
1370095951997;0.002
1370095952492;0.04
1370095953192;0.01
1370095953348;0.063
1370095953532;0.009
1370095954868;0.031
1370095955073;0.166
1370095956808;0.189
1370095957286;0.001
1370095957812;0.252
1370095958144;0.032
1370095958584;0.157
1370095958671;0.242
1370095959521;0.374
1370095960661;0.001
1370095960875;0.394
1370095961001;0.551
1370095961400;0.538
1370095961561;0.305
1370095961860;0.327
1370095961887;0.08
1370095961926;0.245
1370095962161;0.005
1370095962287;0.181
1370095962978;0.04
1370095963807;0.025
1370095963994;0.387
1370095964023;0.135
1370095964791;0.046
1370095965097;0.192
1370095965279;0.316
1370095965412;0.041
1370095965757;0.061
1370095965783;0.036
1370095965884;0.094
1370095966094;0.132
1370095966995;0.037
1370095967059;0.162
1370095967170;0.001
1370095967341;0.005
1370095967380;0.125
1370095968606;0.019
1370095969043;0.065
1370095969833;0.174
1370095969899;0.04
1370095971511;0.01
1370095971583;0.02
1370095972882;0.0
1370095972885;0.319
1370095973547;0.115
1370095973678;0.586
1370095973894;0.049
1370095974255;0.152
1370095976304;0.102
1370095976358;0.1
1370095977098;0.074
1370095977532;0.145
1370095977538;0.099
1370095977580;0.035
1370095977716;0.031
1370095977840;0.049
1370095978180;0.065
1370095978447;0.044
1370095978716;0.028
1370095978827;0.008
1370095978905;0.053
1370095979220;0.207
1370095979805;0.14
1370095980017;0.038
1370095980200;0.019
