Timestamp;WC2
1370005598336;0.436
1370005599651;0.153
1370005601457;0.046
1370005602808;0.103
1370005604373;0.093
1370005604516;0.013
1370005606715;0.037
1370005608930;0.018
1370005611072;0.007
1370005611137;0.098
1370005611479;0.055
1370005616535;0.124
1370005617869;0.11
1370005620136;0.058
1370005620345;0.018
1370005620974;0.03
1370005622954;0.126
1370005623784;0.136
1370005629126;0.366
1370005629219;0.32
1370005629945;0.359
1370005630646;0.127
1370005632437;0.012
1370005632505;0.064
1370005636571;0.229
1370005638033;0.33
1370005638342;0.17
1370005638957;0.146
1370005645424;0.032
1370005645716;0.011
1370005646883;0.03
1370005647844;0.015
1370005649041;0.031
1370005649551;0.106
1370005653024;0.111
1370005655122;0.134
1370005657576;0.018
1370005659535;0.047
1370005661708;0.307
1370005661775;0.546
1370005663244;0.075
1370005663294;0.457
1370005667354;0.063
1370005668280;0.069
1370005668351;0.027
1370005668799;0.011
1370005670328;0.238
1370005672701;0.239
1370005672988;0.052
1370005673561;0.434
1370005677896;0.203
1370005678360;0.001
1370005680730;0.04
1370005684226;0.012
1370005684351;0.102
1370005684516;0.047
1370005686680;0.802
1370005686689;0.404
1370005690445;0.035
1370005692507;0.212
1370005693341;0.066
1370005694013;0.025
1370005694885;0.142
1370005695721;0.15
1370005703262;0.089
1370005706335;0.066
1370005707031;0.415
1370005707079;0.433
1370005707503;0.061
1370005707854;0.129
1370005710472;0.112
1370005710694;0.023
1370005712098;0.445
1370005712586;0.025
1370005712942;0.026
1370005713591;0.318
1370005714664;0.147
1370005715295;0.555
1370005716244;0.412
1370005717944;0.031
1370005718461;0.015
1370005719684;0.052
1370005726205;0.029
1370005726955;0.27
1370005727570;0.145
1370005728557;0.074
1370005729737;0.087
1370005730740;0.159
1370005733496;0.126
1370005734189;0.525
1370005737042;0.032
1370005737605;0.246
1370005739326;0.435
1370005739766;0.048
1370005739944;0.198
1370005739963;0.122
1370005740070;0.225
1370005740239;0.022
1370005740686;0.0
1370005742964;0.284
1370005742965;0.143
1370005743461;0.338
1370005744648;0.121
1370005745216;0.001
1370005745723;0.309
1370005746151;0.051
1370005747920;0.156
1370005752030;0.224
1370005752602;0.332
1370005755695;0.025
1370005755753;0.133
1370005759992;0.04
1370005760125;0.04
1370005762172;0.151
1370005762897;0.097
1370005764118;0.03
1370005766294;0.065
1370005766932;0.031
1370005767877;0.044
1370005767919;0.037
1370005769115;0.001
1370005770467;0.002
1370005772356;0.051
1370005774833;0.43
1370005775016;0.893
1370005775397;0.042
1370005780605;0.13
1370005781671;0.048
1370005787255;0.125
1370005788695;0.519
1370005789484;0.153
1370005790125;0.018
1370005790799;0.267
1370005790868;0.309
1370005790917;0.239
1370005793962;0.342
1370005794018;0.052
1370005796084;0.082
1370005800889;0.263
1370005801032;0.216
1370005801232;0.001
1370005802973;0.091
1370005804224;0.338
1370005804247;0.22
1370005804690;0.113
1370005804850;0.267
1370005805118;0.028
1370005805614;0.164
1370005806319;0.095
1370005806455;0.048
1370005808077;0.032
1370005809896;0.011
1370005812194;0.359
1370005813411;0.184
1370005814591;0.066
1370005814663;0.033
1370005815914;0.026
1370005824078;0.007
1370005824287;0.125
1370005824731;0.209
1370005827378;0.068
1370005829424;0.504
1370005830100;0.12
1370005830226;0.025
1370005832815;0.057
1370005835675;0.226
1370005839304;0.131
1370005844190;0.047
1370005845174;0.08
1370005846615;0.544
1370005848223;0.054
1370005849295;0.05
1370005854008;0.453
1370005854658;0.031
1370005855526;0.001
1370005858148;0.049
1370005860675;0.001
1370005860695;0.344
1370005860873;0.466
1370005862445;0.158
1370005862521;0.23
1370005863192;0.048
1370005863418;0.101
1370005863443;0.086
1370005865058;0.063
1370005865622;0.019
1370005867183;0.274
1370005868819;0.391
1370005869329;0.061
1370005869677;0.05
1370005869910;0.085
1370005870663;0.064
1370005871154;0.001
1370005871244;0.03
1370005872141;0.223
1370005872464;0.301
1370005874256;0.269
1370005875469;0.179
1370005875711;0.309
1370005877318;0.042
1370005878767;0.001
1370005878983;0.052
1370005880729;0.357
1370005880946;0.638
1370005881441;0.038
1370005882854;0.094
1370005888995;0.038
1370005890712;0.42
1370005891334;0.055
1370005892341;0.12
1370005892509;0.157
1370005893729;0.19
1370005894393;0.165
1370005897102;0.848
1370005897673;0.131
1370005900217;0.078
1370005900542;0.035
1370005901648;0.22
1370005901935;0.146
1370005902605;0.188
1370005904108;0.137
1370005904681;0.05
1370005905465;0.005
1370005905777;0.251
1370005905983;0.291
1370005906690;0.28
1370005906979;0.097
1370005907342;0.053
1370005907794;0.306
1370005908346;0.035
1370005908962;0.174
1370005909624;0.115
1370005910208;0.297
1370005910527;0.196
1370005912878;0.098
1370005913362;0.297
1370005913938;0.319
1370005914150;0.303
1370005914943;0.022
1370005915368;0.515
1370005917361;0.256
1370005917691;0.048
1370005920591;0.038
1370005922263;0.295
1370005923461;0.188
1370005928074;0.026
1370005931085;0.476
1370005931130;0.137
1370005931528;0.64
1370005934190;0.044
1370005935675;0.063
1370005943146;0.117
1370005945614;0.109
1370005945626;0.343
1370005945926;0.235
1370005946388;0.078
1370005946816;0.016
1370005952509;0.135
1370005954859;0.083
1370005955851;0.01
1370005957163;0.065
1370005958819;0.121
1370005961117;0.036
1370005961267;0.081
1370005961831;0.005
1370005962167;0.127
1370005968427;0.129
1370005969596;0.119
1370005971065;0.027
1370005971396;0.001
1370005971811;0.146
1370005973546;0.117
1370005975836;0.267
1370005976502;0.004
1370005976973;0.005
1370005977024;0.345
1370005981720;0.101
1370005983460;0.322
1370005985754;0.109
1370005985833;0.017
1370005986347;0.095
