Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1598604020966, 5, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009442366386290264; 0.024898267381217143; 0.007611060487720477]], 0.07798366217762477, 
1598604020973, 7, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013579945548376424; 0.015726299057786334; 0.01231257372770204]], 0.19239529442375203, 
1598604020983, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 0.40633504201407494, 
1598604021000, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.0013646972978163894; 0.024872197229583382; 0.0013342180705654544]], 0.2232447617877535, 
1598604021001, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01932993318415914; 0.03201743988589667; 0.0]], 0.4679107171189241, 
1598604021003, 9, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.40633504201407494, 
1598604091093, 7, ESTIMATION, -,[[0.012574073590456598; 0.05037123797536425; 0.007686528601922644]], 1.4365230956832047, 
1598604091096, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012641198541121397; 0.04958818358450884; 0.007910764008806179]], 1.3786108245433155, 
1598604091097, 7, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014071636200918836; 0.017600543701287295; 0.011415207975496172]], 0.24790668263425591, 
1598604091100, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.00521610107252129; 0.02154367645791666; 0.0031997657609151723]], 0.13298271299758907, 
1598604091101, 8, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.008193621445501589; 0.02892625355525017; 0.0059295806489106945]], 0.08534820614272362, 
1598604091106, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 0.43278003949060406, 
1598604091111, 9, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.006268198596772527; 0.029262291937520987; 0.007282170321937248]], 0.03945679241312889, 
1598604091112, 10, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.43278003949060406, 
1598604091113, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.0018542506299496237; 0.025832073589931386; 0.0015155967011559054]], 0.20410944415701465, 
1598604091116, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.018369523316028397; 0.030496278412485325; 1.8095049394301985E-4]], 0.5858621506982007, 
1598604152186, 1021, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@28a33dc9 (type: tools.descartes.librede.approach.WangKalmanFilterApproach), -,-,
1598604161182, 5, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0014914816448050178; 0.0316507493812275; 0.009228895360525177]], 0.12296369855190496, 
1598604161183, 6, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009421522379944878; 0.02586135079348754; 0.006611863318844979]], 0.1296411440321322, 
1598604161187, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012479597397866062; 0.04974857225773991; 0.0078041794593014776]], 1.5525381384882084, 
1598604161188, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 0.26840049574177405, 
1598604161191, 16, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007561064849891046; 0.02928054665878301; 0.004770415522920073]], 0.08193580693489864, 
1598604161193, 5, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005030198269637504; 0.02091365717628605; 0.0030965293920719463]], 0.14028622643057762, 
1598604161198, 4, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0; 0.0; 0.0]], 0.44394800377754223, 
1598604161199, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.44394800377754223, 
1598604161204, 5, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.017538798469431835; 0.029331627174238484; 1.452395408405087E-4]], 0.5711704106561762, 
1598604162234, 1060, ESTIMATION, -,[[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 0.26840049574177405, 
1598604230342, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012451769880023434; 0.048916207252403275; 0.007512476008171111]], 1.6828178630322066, 
1598604230343, 10, ESTIMATION, -,[[0.013981353400279636; 0.019278735878802328; 0.009796986991914022]], 0.27121306804744044, 
1598604230346, 6, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0024219505556315134; 0.031080865580366556; 0.008570220593759625]], 0.09384344417104658, 
1598604230349, 6, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013981353400279636; 0.019278735878802328; 0.009796986991914022]], 0.27121306804744044, 
1598604230350, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005072306468317602; 0.020539024913523565; 0.003022345113907345]], 0.14219524170680514, 
1598604230354, 8, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009556741509512034; 0.02563109618359438; 0.006694326564899467]], 0.13630865037399195, 
1598604230361, 6, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007372600153357912; 0.030095142093241056; 0.004644630107517561]], 0.08081840309007358, 
1598604230362, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.006235515925932849; 0.028799612801956878; 0.007201066053381971]], 0.047427608774617436, 
1598604230368, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.4470181482224457, 
1598604230369, 7, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.016782746523079338; 0.02814203758025199; 5.145977874351208E-4]], 0.47937883289024313, 
1598604300447, 18, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01239409405521468; 0.04827862669897; 0.007432578678965008]], 1.6783321758558214, 
1598604300449, 21, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.08250217715213594, 
1598604300451, 19, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.03252900998279207; 0.009217296399556608]], 0.17149714311625575, 
1598604300467, 15, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009538777854087915; 0.02542503360684614; 0.006715608761247644]], 0.1353777698239907, 
1598604300470, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0051207516560101175; 0.020509514318728578; 0.0030382898812065548]], 0.13969200537500082, 
1598604300472, 20, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013839566956296843; 0.01948000732095283; 0.009383605428426207]], 0.26893826687580646, 
1598604300499, 26, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007372600153357912; 0.030095142093241056; 0.004644630107517561]], 0.08065936084456318, 
1598604300500, 27, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0064747607413836155; 0.028630189279655334; 0.007045190878298755]], 0.05133126618248025, 
1598604300505, 30, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.002947087723761645; 0.027709339732193725; 0.0019468336895689486]], 0.1478502884084923, 
1598604300506, 33, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012370336936409992; 0.04858170518456632; 0.0073507338505727935]], 1.6798695011730704, 
1598604300507, 33, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.4461832255105255, 
1598604300509, 20, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01648419910736965; 0.02773103050783999; 5.571759860624388E-4]], 0.4477783558477876, 
1598604320544, 19, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@28a33dc9 (type: tools.descartes.librede.approach.WangKalmanFilterApproach), -,-,
1598604370584, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01247426946731871; 0.04760522476404279; 0.007385968506719491]], 1.6748856996094401, 
1598604370586, 23, ESTIMATION, -,[[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 0.26507076725131506, 
1598604370587, 23, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0077108351016184845; 0.028907573188869898; 0.004583012076246534]], 0.08248644218299825, 
1598604370591, 23, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0010902016617026645; 0.03191182504985509; 0.008818279940000173]], 0.13988395884968535, 
1598604370604, 18, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.00963148060022747; 0.025149180574608253; 0.006681731406107101]], 0.13710196687382156, 
1598604370607, 22, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 0.26507076725131506, 
1598604370608, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005205094010988425; 0.02039865353674966; 0.003054883747852263]], 0.13908269915830015, 
1598604370635, 25, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0; 0.0; 0.0]], 0.4484315140000349, 
1598604370643, 34, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012438431012456572; 0.04760870579150896; 0.007286073942989698]], 1.6741198407382911, 
1598604370644, 21, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.01612273743053066; 0.02737401584956818; 5.895482712334679E-4]], 0.42275964521128323, 
1598604370647, 37, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.005278850579697296; 0.029268130575861025; 0.0073279935485768884]], 0.02875045370009229, 
1598604370649, 26, OPTIMIZED_EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.003140863527012169; 0.027932039175104045; 0.002056180938748041]], 0.14126944967214122, 
1598604440735, 22, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012549816722782232; 0.047848690379136916; 0.007336556826771226]], 1.6802232613465549, 
1598604440738, 26, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.0828324362131541, 
1598604440739, 29, ESTIMATION, -,[[0.013540022707022143; 0.01981356795251188; 0.008805044805008181]], 0.263554592063381, 
1598604440740, 25, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[8.850960964873484E-5; 0.03235497918539041; 0.00930947598699998]], 0.17325644046284766, 
1598604440756, 20, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005224019897626088; 0.02039378430967315; 0.0030278222643151955]], 0.1387365560387861, 
1598604440762, 23, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013540022707022143; 0.01981356795251188; 0.008805044805008181]], 0.263554592063381, 
1598604440763, 24, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009631772794839745; 0.02510893151567752; 0.006577744398907015]], 0.13903114229701688, 
