Timestamp;WC0;WC1
1370001609000;0.0;0.0
1370001610000;1.0;1.0
1370001611000;0.0;2.0
1370001612000;3.0;1.0
1370001613000;2.0;0.0
1370001614000;1.0;1.0
1370001615000;1.0;1.0
1370001616000;0.0;0.0
1370001617000;0.0;1.0
1370001618000;1.0;3.0
1370001619000;0.0;0.0
1370001620000;2.0;1.0
1370001621000;0.0;1.0
1370001622000;2.0;0.0
1370001623000;0.0;1.0
1370001624000;2.0;0.0
1370001625000;1.0;0.0
1370001626000;2.0;1.0
1370001627000;0.0;0.0
1370001628000;2.0;1.0
1370001629000;1.0;0.0
1370001630000;1.0;0.0
1370001631000;0.0;2.0
1370001632000;0.0;1.0
1370001633000;3.0;0.0
1370001634000;0.0;1.0
1370001635000;0.0;0.0
1370001636000;0.0;0.0
1370001637000;1.0;1.0
1370001638000;1.0;1.0
1370001639000;0.0;0.0
1370001640000;0.0;1.0
1370001641000;1.0;0.0
1370001642000;2.0;0.0
1370001643000;0.0;1.0
1370001644000;2.0;0.0
1370001645000;0.0;1.0
1370001646000;2.0;1.0
1370001647000;1.0;0.0
1370001648000;2.0;3.0
1370001649000;1.0;2.0
1370001650000;1.0;0.0
1370001651000;1.0;0.0
1370001652000;1.0;0.0
1370001653000;1.0;1.0
1370001654000;2.0;1.0
1370001655000;1.0;0.0
1370001656000;0.0;3.0
1370001657000;1.0;1.0
1370001658000;0.0;2.0
1370001659000;1.0;1.0
1370001660000;1.0;0.0
1370001661000;1.0;0.0
1370001662000;1.0;2.0
1370001663000;1.0;0.0
1370001664000;2.0;0.0
1370001665000;0.0;0.0
1370001666000;1.0;0.0
1370001667000;1.0;0.0
1370001668000;1.0;1.0
1370001669000;0.0;0.0
1370001670000;1.0;2.0
1370001671000;0.0;1.0
1370001672000;1.0;1.0
1370001673000;0.0;0.0
1370001674000;1.0;0.0
1370001675000;1.0;0.0
1370001676000;0.0;1.0
1370001677000;1.0;1.0
1370001678000;1.0;2.0
1370001679000;3.0;2.0
1370001680000;2.0;0.0
1370001681000;2.0;0.0
1370001682000;0.0;0.0
1370001683000;4.0;0.0
1370001684000;2.0;0.0
1370001685000;1.0;0.0
1370001686000;2.0;0.0
1370001687000;0.0;1.0
1370001688000;4.0;1.0
1370001689000;1.0;1.0
1370001690000;1.0;1.0
1370001691000;1.0;1.0
1370001692000;0.0;2.0
1370001693000;1.0;2.0
1370001694000;0.0;1.0
1370001695000;0.0;0.0
1370001696000;0.0;0.0
1370001697000;0.0;1.0
1370001698000;1.0;0.0
1370001699000;1.0;1.0
1370001700000;0.0;2.0
1370001701000;2.0;0.0
1370001702000;0.0;0.0
1370001703000;0.0;1.0
1370001704000;0.0;1.0
1370001705000;0.0;2.0
1370001706000;0.0;2.0
1370001707000;0.0;0.0
