Timestamp;WC0;WC1
1370143052000;0.021249999999999998;0.15733333333333333
1370143053000;0.017499999999999998;0.23375
1370143054000;0.07780000000000001;0.2512857142857143
1370143055000;0.063;0.2936666666666667
1370143056000;0.025;0.0422
1370143057000;0.005;0.1485
1370143058000;0.049;0.0
1370143059000;0.003;0.505
1370143060000;0.124;0.6429999999999999
1370143061000;0.034;0.1602
1370143062000;0.007666666666666666;0.251
1370143063000;0.0;0.175
1370143064000;0.013333333333333334;0.3223333333333333
1370143065000;0.02725;0.0
1370143066000;0.028333333333333335;0.09480000000000001
1370143067000;0.012;0.12
1370143068000;0.029;0.202
1370143069000;0.04825;0.3916666666666666
1370143070000;0.046000000000000006;0.35219999999999996
1370143071000;0.05442857142857143;0.425
1370143072000;0.0595;0.209
1370143073000;0.031;0.3142
1370143074000;0.026000000000000002;0.025333333333333333
1370143075000;0.05714285714285714;0.511
1370143076000;0.04066666666666666;0.005
1370143077000;0.025666666666666667;0.24900000000000003
1370143078000;0.0485;0.05775
1370143079000;0.041666666666666664;0.0995
1370143080000;0.030666666666666665;0.19699999999999998
1370143081000;0.019;0.366
1370143082000;0.08225;0.5650000000000001
1370143083000;0.014666666666666668;0.088
1370143084000;0.035750000000000004;0.22066666666666668
1370143085000;0.0645;0.4105
1370143086000;0.028800000000000003;0.0465
1370143087000;0.05;0.279
1370143088000;0.014833333333333336;0.062
1370143089000;0.03333333333333333;0.13
1370143090000;0.040400000000000005;0.1785
1370143091000;0.012249999999999999;0.113
1370143092000;0.036125;0.5963333333333334
1370143093000;0.0846;0.14579999999999999
1370143094000;0.0245;0.10775
1370143095000;0.027199999999999995;0.13533333333333333
1370143096000;0.025;0.201
1370143097000;0.036;0.3873333333333333
1370143098000;0.028;0.109
1370143099000;0.11800000000000002;0.5917999999999999
1370143100000;0.11699999999999999;0.475
1370143101000;0.0;0.078
1370143102000;0.001;0.124
1370143103000;0.0125;0.49750000000000005
1370143104000;0.027714285714285716;0.09833333333333333
1370143105000;0.008333333333333333;0.099
1370143106000;0.121;0.15633333333333332
1370143107000;0.02566666666666667;0.22
1370143108000;0.0105;0.09050000000000001
1370143109000;0.059000000000000004;0.144
1370143110000;0.04525;0.15283333333333335
1370143111000;0.053000000000000005;0.0675
1370143112000;0.055;0.08199999999999999
1370143113000;0.0;0.096
1370143114000;0.10250000000000001;0.3343333333333333
1370143115000;0.07566666666666667;0.1466
1370143116000;0.0114;0.062
1370143117000;0.067;0.25533333333333336
1370143118000;0.0;0.0405
1370143119000;0.02975;0.0
1370143120000;0.0502;0.2466666666666667
1370143121000;0.0023333333333333335;0.14725
1370143122000;0.006333333333333333;0.0
1370143123000;0.0225;0.141
1370143124000;0.024;0.042
1370143125000;0.024;0.158
1370143126000;0.08299999999999999;0.1905
1370143127000;0.043;0.08650000000000001
1370143128000;0.022000000000000002;0.0595
1370143129000;0.0485;0.09500000000000001
1370143130000;0.11699999999999999;0.2615
1370143131000;0.0;0.4455
1370143132000;0.1555;0.2635
1370143133000;0.018500000000000003;0.19699999999999998
1370143134000;0.048666666666666664;0.7416666666666666
1370143135000;0.018000000000000002;0.0
1370143136000;0.032;0.07533333333333334
1370143137000;0.0245;0.21275
1370143138000;0.035;0.309
1370143139000;0.022333333333333334;0.055
1370143140000;0.035;0.09533333333333334
1370143141000;0.0264;0.0
1370143142000;0.0385;0.02
1370143143000;0.003;0.078
1370143144000;0.0984;0.28583333333333333
1370143145000;0.027800000000000002;0.066
1370143146000;0.025500000000000002;0.12266666666666666
1370143147000;0.019;0.042333333333333334
1370143148000;0.017;0.1425
1370143149000;0.11183333333333334;0.21185714285714283
1370143150000;0.035500000000000004;0.08816666666666667
1370143151000;0.05;0.4800000000000001
1370143152000;0.053000000000000005;0.15933333333333333
1370143153000;0.036000000000000004;0.127
1370143154000;0.0025;0.1195
1370143155000;0.0295;0.2405
1370143156000;0.03275;0.313
1370143157000;0.031;0.053
1370143158000;0.088;0.3728
1370143159000;0.0204;0.06566666666666666
1370143160000;0.07775000000000001;0.15883333333333333
1370143161000;0.05;0.21566666666666667
1370143162000;0.03133333333333333;0.057
1370143163000;0.0556;0.052000000000000005
1370143164000;0.060250000000000005;0.53375
1370143165000;0.11200000000000002;0.10633333333333334
1370143166000;0.11120000000000001;0.2978571428571429
1370143167000;0.05500000000000001;0.5188
1370143168000;0.044;0.06839999999999999
1370143169000;0.043333333333333335;0.38875
1370143170000;0.04066666666666666;0.07550000000000001
1370143171000;0.0636;0.27133333333333337
1370143172000;0.04933333333333334;0.374
1370143173000;0.0033333333333333335;0.12999999999999998
1370143174000;0.027600000000000003;0.1495
1370143175000;0.04733333333333334;0.368
1370143176000;0.008833333333333334;0.22199999999999998
1370143177000;0.024;0.07525
1370143178000;0.05525000000000001;0.3005
1370143179000;0.030666666666666665;0.1495
1370143180000;0.0465;0.20249999999999999
1370143181000;0.0030000000000000005;0.0
1370143182000;0.05333333333333332;0.2713333333333333
1370143183000;0.0336;0.136
1370143184000;0.01;0.032
1370143185000;0.02525;0.06
1370143186000;0.048400000000000006;0.33175
1370143187000;0.05633333333333334;0.19200000000000003
1370143188000;0.1305;0.33599999999999997
1370143189000;0.013;0.1225
1370143190000;0.03175;0.09499999999999999
1370143191000;0.15766666666666668;0.47225000000000006
1370143192000;0.03975;0.2336666666666667
1370143193000;0.044000000000000004;0.09799999999999999
1370143194000;0.009333333333333334;0.41200000000000003
1370143195000;0.017666666666666667;0.12150000000000001
1370143196000;0.043333333333333335;0.30975
1370143197000;0.08;0.10885714285714287
1370143198000;0.018000000000000002;0.24166666666666667
1370143199000;0.014;0.09233333333333334
1370143200000;0.036250000000000004;0.1938
1370143201000;0.047;0.038
1370143202000;0.16125;0.42142857142857143
1370143203000;0.0;0.22633333333333336
1370143204000;0.05466666666666667;0.1548
1370143205000;0.07740000000000001;0.441
1370143206000;0.07;0.31779999999999997
1370143207000;0.049;0.27349999999999997
1370143208000;0.0315;0.14
1370143209000;0.049666666666666665;0.21059999999999998
1370143210000;0.011333333333333334;0.0
1370143211000;0.06333333333333334;0.1375
1370143212000;0.030666666666666665;0.16466666666666666
1370143213000;0.017499999999999998;0.016
1370143214000;0.08725;0.089
1370143215000;0.024;0.051
1370143216000;0.029666666666666664;0.0536
1370143217000;0.023714285714285716;0.03
1370143218000;0.0248;0.0946
1370143219000;0.01675;0.034
1370143220000;0.06949999999999999;0.508
1370143221000;0.033;0.26275
1370143222000;0.001;0.0595
1370143223000;0.0668;0.41025
1370143224000;0.025500000000000002;0.05
1370143225000;0.0135;0.1085
1370143226000;0.016666666666666666;0.07985714285714285
1370143227000;0.1385;0.16319999999999998
1370143228000;0.026;0.015
1370143229000;0.011;0.17300000000000001
1370143230000;0.033;0.2225
1370143231000;0.022749999999999996;0.052333333333333336
1370143232000;0.02266666666666667;0.09419999999999999
1370143233000;0.026750000000000003;0.0995
1370143234000;0.0345;0.05739999999999999
1370143235000;0.100375;0.5599999999999999
1370143236000;0.0235;0.37366666666666665
1370143237000;0.04157142857142858;0.1995
1370143238000;0.0015;0.0175
1370143239000;0.026333333333333334;0.10466666666666667
1370143240000;0.025;0.14775
1370143241000;0.0275;0.10633333333333334
1370143242000;0.043000000000000003;0.34825
1370143243000;0.042833333333333334;0.183
1370143244000;0.126125;0.0935
1370143245000;0.0262;0.31066666666666665
1370143246000;0.03;0.01
1370143247000;0.018142857142857145;0.28185714285714286
1370143248000;0.007333333333333334;0.185
1370143249000;0.042333333333333334;0.163
1370143250000;0.004;0.14775
1370143251000;0.0165;0.047
