Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1566388041020, 5, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007561064849891046; 0.02928054665878301; 0.004770415522920073]], 0.08084545917485825, 
1566388041025, 5, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.014058625648979823; 0.01842010670103193; 0.010702144355345944]], 0.2710270450582057, 
1566388096976, 404438, OPTIMIZATION, -,-,-,
1566388110229, 9, ESTIMATION, -,[[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.08316483470908163, 
1566388110239, 8, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012451769880023434; 0.048916207252403275; 0.007512476008171111]], 0.6828178630322066, 
1566388110240, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0024219505556315134; 0.031080865580366556; 0.008570220593759625]], 0.09591471904284049, 
1566388110242, 19, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007607080473986098; 0.029260778327745714; 0.004616417853932234]], 0.08316483470908163, 
1566388110244, 14, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005072306468317602; 0.020539024913523565; 0.003022345113907345]], 0.14361225364853933, 
1566388110249, 8, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013981353400279636; 0.019278735878802328; 0.009796986991914022]], 0.2740490786875966, 
1566388110255, 12, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009556741509511172; 0.02563109618354864; 0.00669432656488232]], 0.13682765164635458, 
1566388180293, 9, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01239409405521468; 0.04827862669897; 0.007432578678965008]], 0.6783321758558213, 
1566388180294, 14, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0; 0.03252900998279207; 0.009217296399556608]], 0.17349880765927617, 
1566388180303, 30, ESTIMATION, -,[[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.08186397948209855, 
1566388180305, 28, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007622150425490425; 0.02913300423444542; 0.004593084961914687]], 0.08186397948209855, 
1566388180311, 12, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0051207516560101175; 0.020509514318728578; 0.0030382898812065548]], 0.14073276396561585, 
1566388180314, 10, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013839566956296843; 0.01948000732095283; 0.009383605428426207]], 0.27028266814864527, 
1566388180318, 25, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009538777854080428; 0.025425033606802268; 0.006715608761226089]], 0.13535598506751573, 
1566388250352, 13, ESTIMATION, -,[[0.0077108351016184845; 0.028907573188869898; 0.004583012076246534]], 0.08090967759101529, 
1566388250363, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01247426946731871; 0.04760522476404279; 0.007385968506719491]], 0.6748856996094401, 
1566388250364, 7, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005205094010988425; 0.02039865353674966; 0.003054883747852263]], 0.13886005524370088, 
1566388250365, 23, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0077108351016184845; 0.028907573188869898; 0.004583012076246534]], 0.08090967759101529, 
1566388250371, 9, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0010902016617026645; 0.03191182504985509; 0.008818279940000173]], 0.1388304958354506, 
1566388250374, 20, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009631480600224028; 0.025149180574570003; 0.0066817314060912065]], 0.13495087566660752, 
1566388250378, 12, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 0.26144584687820416, 
1566388311670, 1274, RECOMMENDATION, tools.descartes.librede.configuration.impl.EstimationApproachConfigurationImpl@3c4e23be (type: tools.descartes.librede.approach.ServiceDemandLawApproach), -,-,
1566388320421, 23, ESTIMATION, -,[[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.08050554380743515, 
1566388320424, 14, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[8.850960964873484E-5; 0.03235497918539041; 0.00930947598699998]], 0.17018320351814578, 
1566388320430, 10, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012549816722782232; 0.047848690379136916; 0.007336556826771226]], 0.6802232613465549, 
1566388320435, 25, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.08050554380743515, 
1566388320439, 18, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005224019897626088; 0.02039378430967315; 0.0030278222643151955]], 0.13797178669114177, 
1566388320445, 14, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013540022707022143; 0.01981356795251188; 0.008805044805008181]], 0.25739452864268036, 
