Timestamp;WC0;WC1
1370016932000;1.0;1.0
1370016933000;0.0;1.0
1370016934000;1.0;0.0
1370016935000;2.0;0.0
1370016936000;0.0;1.0
1370016937000;1.0;1.0
1370016938000;1.0;0.0
1370016939000;1.0;1.0
1370016940000;1.0;1.0
1370016941000;1.0;1.0
1370016942000;0.0;1.0
1370016943000;0.0;1.0
1370016944000;0.0;1.0
1370016945000;1.0;0.0
1370016946000;0.0;1.0
1370016947000;1.0;1.0
1370016948000;1.0;0.0
1370016949000;1.0;2.0
1370016950000;1.0;1.0
1370016951000;0.0;2.0
1370016952000;0.0;2.0
1370016953000;0.0;1.0
1370016954000;0.0;1.0
1370016955000;0.0;0.0
1370016956000;1.0;0.0
1370016957000;0.0;1.0
1370016958000;1.0;0.0
1370016959000;2.0;0.0
1370016960000;1.0;1.0
1370016961000;0.0;0.0
1370016962000;0.0;0.0
1370016963000;0.0;2.0
1370016964000;2.0;0.0
1370016965000;2.0;1.0
1370016966000;1.0;1.0
1370016967000;0.0;1.0
1370016968000;1.0;1.0
1370016969000;0.0;1.0
1370016970000;0.0;1.0
1370016971000;3.0;0.0
1370016972000;0.0;0.0
1370016973000;0.0;2.0
1370016974000;0.0;1.0
1370016975000;3.0;1.0
1370016976000;3.0;1.0
1370016977000;0.0;2.0
1370016978000;0.0;3.0
1370016979000;1.0;1.0
1370016980000;2.0;0.0
1370016981000;2.0;0.0
1370016982000;0.0;1.0
1370016983000;1.0;2.0
1370016984000;1.0;0.0
1370016985000;0.0;0.0
1370016986000;1.0;0.0
1370016987000;2.0;1.0
1370016988000;2.0;2.0
1370016989000;0.0;0.0
1370016990000;2.0;0.0
1370016991000;1.0;1.0
1370016992000;2.0;1.0
1370016993000;2.0;2.0
1370016994000;1.0;1.0
1370016995000;0.0;0.0
1370016996000;1.0;1.0
1370016997000;1.0;1.0
1370016998000;1.0;0.0
1370016999000;1.0;2.0
1370017000000;1.0;1.0
1370017001000;1.0;0.0
1370017002000;1.0;1.0
1370017003000;1.0;2.0
1370017004000;0.0;2.0
1370017005000;0.0;1.0
1370017006000;2.0;0.0
1370017007000;0.0;1.0
1370017008000;0.0;0.0
1370017009000;0.0;1.0
1370017010000;1.0;0.0
1370017011000;0.0;1.0
1370017012000;0.0;1.0
1370017013000;0.0;1.0
1370017014000;0.0;4.0
1370017015000;1.0;0.0
1370017016000;0.0;0.0
1370017017000;1.0;1.0
1370017018000;0.0;3.0
1370017019000;2.0;2.0
1370017020000;2.0;1.0
1370017021000;1.0;0.0
1370017022000;1.0;1.0
1370017023000;0.0;1.0
1370017024000;1.0;2.0
1370017025000;1.0;2.0
1370017026000;0.0;1.0
1370017027000;0.0;0.0
1370017028000;0.0;2.0
1370017029000;1.0;2.0
1370017030000;0.0;1.0
1370017031000;0.0;1.0
1370017032000;2.0;0.0
1370017033000;2.0;4.0
1370017034000;1.0;1.0
1370017035000;1.0;1.0
1370017036000;2.0;1.0
1370017037000;0.0;0.0
1370017038000;0.0;2.0
1370017039000;1.0;0.0
1370017040000;1.0;0.0
1370017041000;0.0;1.0
1370017042000;0.0;1.0
1370017043000;2.0;0.0
1370017044000;1.0;2.0
1370017045000;1.0;0.0
1370017046000;1.0;1.0
1370017047000;2.0;2.0
1370017048000;1.0;0.0
1370017049000;1.0;0.0
1370017050000;0.0;1.0
1370017051000;3.0;0.0
1370017052000;1.0;0.0
1370017053000;1.0;2.0
1370017054000;0.0;0.0
1370017055000;0.0;0.0
1370017056000;0.0;0.0
1370017057000;1.0;1.0
1370017058000;0.0;1.0
1370017059000;1.0;0.0
1370017060000;0.0;2.0
1370017061000;0.0;1.0
1370017062000;1.0;4.0
1370017063000;0.0;0.0
1370017064000;2.0;1.0
1370017065000;0.0;0.0
1370017066000;1.0;0.0
1370017067000;0.0;0.0
1370017068000;0.0;0.0
1370017069000;1.0;2.0
1370017070000;0.0;1.0
1370017071000;1.0;0.0
1370017072000;0.0;0.0
1370017073000;3.0;1.0
1370017074000;1.0;2.0
1370017075000;2.0;0.0
1370017076000;1.0;1.0
1370017077000;0.0;2.0
1370017078000;2.0;0.0
1370017079000;0.0;5.0
1370017080000;2.0;0.0
1370017081000;0.0;0.0
1370017082000;2.0;0.0
1370017083000;0.0;1.0
1370017084000;0.0;2.0
1370017085000;1.0;2.0
1370017086000;0.0;1.0
1370017087000;3.0;0.0
1370017088000;0.0;2.0
1370017089000;0.0;0.0
1370017090000;0.0;0.0
1370017091000;0.0;1.0
1370017092000;2.0;0.0
1370017093000;1.0;2.0
1370017094000;1.0;1.0
1370017095000;0.0;1.0
1370017096000;1.0;1.0
1370017097000;0.0;0.0
1370017098000;1.0;1.0
1370017099000;0.0;0.0
1370017100000;0.0;0.0
1370017101000;0.0;1.0
1370017102000;1.0;0.0
1370017103000;1.0;2.0
1370017104000;3.0;0.0
1370017105000;0.0;1.0
1370017106000;0.0;0.0
1370017107000;0.0;0.0
1370017108000;1.0;0.0
1370017109000;1.0;0.0
1370017110000;1.0;1.0
1370017111000;0.0;4.0
1370017112000;1.0;0.0
1370017113000;0.0;0.0
1370017114000;1.0;1.0
1370017115000;0.0;0.0
1370017116000;1.0;0.0
1370017117000;2.0;1.0
1370017118000;1.0;1.0
1370017119000;0.0;1.0
1370017120000;0.0;0.0
1370017121000;1.0;2.0
1370017122000;1.0;0.0
1370017123000;1.0;0.0
1370017124000;0.0;1.0
1370017125000;3.0;2.0
1370017126000;0.0;1.0
1370017127000;0.0;0.0
1370017128000;0.0;1.0
1370017129000;1.0;2.0
1370017130000;0.0;1.0
1370017131000;1.0;0.0
1370017132000;1.0;0.0
1370017133000;1.0;1.0
1370017134000;0.0;0.0
1370017135000;1.0;1.0
1370017136000;2.0;0.0
1370017137000;1.0;1.0
1370017138000;0.0;0.0
1370017139000;1.0;0.0
1370017140000;1.0;1.0
1370017141000;0.0;1.0
1370017142000;0.0;1.0
1370017143000;1.0;0.0
1370017144000;1.0;0.0
1370017145000;3.0;0.0
1370017146000;0.0;1.0
1370017147000;0.0;1.0
1370017148000;1.0;0.0
1370017149000;0.0;1.0
1370017150000;2.0;1.0
1370017151000;0.0;1.0
1370017152000;1.0;0.0
1370017153000;0.0;1.0
1370017154000;0.0;0.0
1370017155000;2.0;1.0
1370017156000;0.0;0.0
1370017157000;0.0;0.0
1370017158000;1.0;1.0
1370017159000;0.0;1.0
1370017160000;0.0;2.0
1370017161000;1.0;0.0
1370017162000;1.0;0.0
1370017163000;0.0;1.0
1370017164000;1.0;0.0
1370017165000;1.0;1.0
1370017166000;1.0;1.0
1370017167000;1.0;1.0
1370017168000;1.0;0.0
1370017169000;0.0;1.0
1370017170000;0.0;0.0
1370017171000;0.0;2.0
1370017172000;2.0;0.0
1370017173000;0.0;0.0
1370017174000;1.0;0.0
1370017175000;0.0;1.0
1370017176000;0.0;1.0
1370017177000;1.0;0.0
1370017178000;0.0;0.0
1370017179000;3.0;0.0
1370017180000;1.0;1.0
1370017181000;0.0;1.0
1370017182000;2.0;1.0
1370017183000;1.0;1.0
1370017184000;1.0;1.0
1370017185000;0.0;2.0
1370017186000;0.0;0.0
1370017187000;0.0;1.0
1370017188000;2.0;1.0
1370017189000;1.0;0.0
1370017190000;2.0;1.0
1370017191000;0.0;1.0
1370017192000;1.0;2.0
1370017193000;0.0;0.0
1370017194000;0.0;1.0
1370017195000;0.0;2.0
1370017196000;1.0;0.0
1370017197000;2.0;2.0
1370017198000;1.0;0.0
1370017199000;3.0;1.0
1370017200000;2.0;1.0
1370017201000;2.0;1.0
1370017202000;3.0;3.0
1370017203000;1.0;1.0
1370017204000;1.0;1.0
1370017205000;3.0;1.0
1370017206000;0.0;0.0
1370017207000;0.0;0.0
1370017208000;1.0;0.0
1370017209000;1.0;0.0
1370017210000;2.0;2.0
1370017211000;1.0;0.0
1370017212000;0.0;0.0
1370017213000;0.0;0.0
1370017214000;0.0;0.0
1370017215000;0.0;2.0
1370017216000;0.0;1.0
1370017217000;0.0;1.0
1370017218000;2.0;0.0
1370017219000;0.0;0.0
1370017220000;0.0;0.0
1370017221000;0.0;1.0
1370017222000;0.0;3.0
1370017223000;0.0;3.0
1370017224000;0.0;0.0
1370017225000;0.0;1.0
1370017226000;0.0;1.0
1370017227000;1.0;2.0
1370017228000;1.0;0.0
1370017229000;3.0;0.0
1370017230000;0.0;1.0
1370017231000;2.0;1.0
1370017232000;0.0;0.0
1370017233000;1.0;1.0
1370017234000;1.0;0.0
1370017235000;0.0;0.0
1370017236000;0.0;0.0
1370017237000;1.0;0.0
1370017238000;0.0;0.0
1370017239000;0.0;2.0
1370017240000;0.0;2.0
1370017241000;0.0;2.0
1370017242000;0.0;1.0
1370017243000;0.0;2.0
1370017244000;1.0;3.0
1370017245000;4.0;1.0
1370017246000;0.0;2.0
1370017247000;1.0;1.0
1370017248000;1.0;1.0
1370017249000;0.0;2.0
1370017250000;1.0;0.0
1370017251000;2.0;1.0
1370017252000;0.0;0.0
1370017253000;0.0;3.0
1370017254000;0.0;4.0
1370017255000;0.0;0.0
1370017256000;1.0;0.0
1370017257000;0.0;0.0
1370017258000;0.0;1.0
1370017259000;0.0;1.0
1370017260000;1.0;2.0
1370017261000;0.0;0.0
1370017262000;0.0;0.0
1370017263000;0.0;1.0
1370017264000;2.0;0.0
1370017265000;1.0;1.0
1370017266000;0.0;1.0
1370017267000;1.0;0.0
1370017268000;4.0;0.0
1370017269000;1.0;1.0
1370017270000;3.0;1.0
1370017271000;1.0;1.0
1370017272000;1.0;0.0
1370017273000;0.0;3.0
1370017274000;1.0;0.0
1370017275000;2.0;0.0
1370017276000;1.0;0.0
1370017277000;2.0;1.0
1370017278000;1.0;1.0
1370017279000;0.0;0.0
1370017280000;2.0;1.0
1370017281000;1.0;0.0
1370017282000;0.0;2.0
1370017283000;3.0;2.0
1370017284000;2.0;2.0
1370017285000;1.0;1.0
1370017286000;0.0;0.0
1370017287000;1.0;1.0
1370017288000;0.0;0.0
1370017289000;0.0;0.0
1370017290000;1.0;1.0
1370017291000;0.0;0.0
1370017292000;1.0;2.0
1370017293000;1.0;1.0
1370017294000;1.0;2.0
1370017295000;0.0;2.0
1370017296000;0.0;2.0
1370017297000;1.0;0.0
